Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Rudy Gay,Sacramento,3,0,1,4,9-22,0-2,44:44,3,4,+5,20,2,2-6,7,4
Jason Thompson,Sacramento,0,0,0,8,3-5,0-0,30:45,2,1,-1,6,0,0-0,10,2
DeMarcus Cousins,Sacramento,2,1,1,11,7-13,5-5,32:49,3,3,-17,19,0,0-0,14,2
Isaiah Thomas,Sacramento,7,0,1,0,6-17,7-8,40:36,1,2,-13,20,2,1-4,1,1
Marcus Thornton,Sacramento,0,0,0,0,1-4,0-0,18:54,0,0,-7,3,1,1-2,0,0
Derrick Williams,Sacramento,0,0,0,3,5-8,4-4,37:55,1,1,+15,14,0,0-2,4,2
Jimmer Fredette,Sacramento,2,0,0,0,9-14,0-0,27:20,0,0,+14,24,2,6-8,0,1
Ben McLemore,Sacramento,1,0,0,3,0-2,0-0,18:09,0,1,+17,0,0,0-1,3,1
Carl Landry,Sacramento,1,0,0,2,0-0,0-0,8:32,1,4,+14,0,0,0-0,3,2
Quincy Acy,Sacramento,0,0,0,0,0-0,0-0,5:16,0,2,-2,0,0,0-0,0,0
Carmelo Anthony,New York,3,0,1,10,12-28,7-7,48:25,1,3,+6,36,0,5-11,11,3
Iman Shumpert,New York,2,0,0,2,3-7,0-0,21:53,0,2,+9,8,3,2-4,2,2
Tyson Chandler,New York,2,1,0,8,8-12,1-2,40:31,3,3,+2,17,1,0-0,11,1
Raymond Felton,New York,12,0,0,2,3-11,2-4,40:53,4,5,+7,8,0,0-2,6,3
Pablo Prigioni,New York,5,0,0,0,2-3,0-0,23:23,0,2,-1,5,2,1-1,0,1
Tim Hardaway Jr.,New York,1,0,0,1,3-12,0-1,37:56,1,1,-28,7,1,1-6,2,2
Amar'e Stoudemire,New York,1,2,0,5,10-15,0-0,36:57,3,3,-6,20,0,0-0,8,6
Jeremy Tyler,New York,0,0,0,4,0-1,0-0,11:35,1,2,-7,0,0,0-0,5,0
Toure' Murry,New York,1,0,0,0,0-1,0-0,3:28,0,0,-7,0,0,0-0,0,0
