Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Rudy Gay,Sacramento,2,1,1,4,8-20,4-4,38:52,2,3,+9,23,0,3-6,6,2
Jason Thompson,Sacramento,0,0,1,5,5-7,1-2,36:54,2,3,+12,11,2,0-0,7,2
DeMarcus Cousins,Sacramento,2,2,3,6,5-14,4-9,36:40,5,5,-1,14,1,0-0,11,4
Isaiah Thomas,Sacramento,9,0,0,4,8-15,4-4,42:44,1,2,+9,23,3,3-7,5,4
Ben McLemore,Sacramento,2,0,0,0,3-3,1-2,17:06,0,4,-7,9,1,2-2,0,0
Marcus Thornton,Sacramento,0,0,0,3,6-10,0-0,22:39,0,2,+16,15,1,3-6,3,2
Quincy Acy,Sacramento,1,0,0,4,1-1,0-0,12:43,0,2,+8,2,0,0-0,4,0
Derrick Williams,Sacramento,0,0,0,3,0-1,1-2,11:54,0,1,-10,1,0,0-0,3,0
Travis Outlaw,Sacramento,1,0,0,1,0-1,0-0,9:56,2,0,-3,0,0,0-0,3,0
Jimmer Fredette,Sacramento,0,0,0,1,2-4,0-0,5:16,0,0,-4,5,0,1-1,1,0
Aaron Gray,Sacramento,0,1,1,1,1-3,0-0,5:16,0,1,-4,2,0,0-1,1,1
Tobias Harris,Orlando,2,0,0,4,7-11,6-8,32:47,0,2,-1,21,1,1-4,4,1
Glen Davis,Orlando,3,1,1,5,5-8,0-0,29:17,3,2,+1,10,0,0-0,8,4
Nikola Vucevic,Orlando,2,2,0,7,2-6,0-0,27:33,2,6,-1,4,1,0-0,9,5
Arron Afflalo,Orlando,2,0,0,1,9-17,5-7,38:09,1,1,-5,26,1,3-5,2,2
Jameer Nelson,Orlando,3,0,1,3,5-9,1-2,29:20,0,2,+1,13,1,2-4,3,1
Victor Oladipo,Orlando,2,1,0,1,5-13,1-3,21:17,0,4,-4,12,1,1-2,1,1
Andrew Nicholson,Orlando,0,0,0,3,3-9,0-1,21:11,0,0,-9,7,1,1-4,3,2
Kyle O'Quinn,Orlando,2,1,1,5,0-4,0-0,15:22,4,3,-3,0,0,0-0,9,0
Maurice Harkless,Orlando,1,1,1,2,2-3,1-2,15:13,1,3,-4,5,2,0-0,3,1
Doron Lamb,Orlando,0,0,0,0,1-2,0-0,9:51,0,1,+0,2,0,0-1,0,0
