Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Luc Richard Mbah a Moute,Sacramento,3,2,0,2,4-5,3-3,28:15,0,1,+5,11,1,0-0,2,1
Jason Thompson,Sacramento,0,0,1,3,5-6,0-0,19:43,0,4,+10,10,0,0-0,3,2
DeMarcus Cousins,Sacramento,2,0,3,10,4-14,11-15,27:02,2,5,+8,19,1,0-0,12,2
Greivis Vasquez,Sacramento,6,0,1,4,2-9,9-9,27:39,1,1,+3,13,1,0-3,5,1
Ben McLemore,Sacramento,0,0,0,5,3-7,2-2,24:10,0,1,+8,8,1,0-3,5,0
Isaiah Thomas,Sacramento,4,0,0,1,8-13,6-7,27:28,2,5,-2,23,2,1-2,3,2
Patrick Patterson,Sacramento,0,0,0,1,3-8,0-0,25:27,2,2,-2,7,1,1-3,3,1
John Salmons,Sacramento,1,0,1,4,2-7,0-0,22:17,2,0,+3,6,0,2-2,6,0
Jimmer Fredette,Sacramento,2,0,0,2,3-6,0-0,17:20,0,1,+4,8,1,2-2,2,0
Travis Outlaw,Sacramento,1,0,0,1,2-4,1-2,12:42,0,2,-7,6,1,1-2,1,0
Chuck Hayes,Sacramento,0,0,0,0,1-1,0-0,7:56,0,1,+5,2,2,0-0,0,1
P.J. Tucker,Phoenix,3,0,0,5,4-10,1-2,27:15,0,4,+1,12,1,3-7,5,1
Channing Frye,Phoenix,0,2,0,1,0-2,0-0,16:23,0,2,-8,0,0,0-1,1,1
Miles Plumlee,Phoenix,0,3,0,4,5-9,2-5,29:41,3,3,-15,12,0,0-0,7,1
Gerald Green,Phoenix,0,0,1,2,8-13,1-2,36:20,0,6,-6,23,0,6-8,2,3
Goran Dragic,Phoenix,5,0,0,1,10-20,8-9,35:32,1,4,-2,31,1,3-6,2,1
Marcus Morris,Phoenix,1,1,0,2,6-8,0-0,27:53,3,2,+7,13,1,1-2,5,5
Archie Goodwin,Phoenix,2,0,1,2,0-8,1-2,18:13,1,1,-1,1,1,0-3,3,1
Markieff Morris,Phoenix,1,0,0,2,0-4,2-2,17:01,1,2,-7,2,1,0-1,3,2
Ish Smith,Phoenix,0,0,0,2,1-3,0-0,14:30,0,0,-8,2,1,0-0,2,0
Dionte Christmas,Phoenix,0,0,0,2,3-6,0-0,12:30,1,2,+12,8,0,2-5,3,1
Alex Len,Phoenix,0,0,0,1,1-2,0-0,4:43,3,0,-8,2,0,0-0,4,1
