Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Patrick Patterson,Sacramento,1,0,0,2,4-8,0-0,30:34,2,2,-7,10,2,2-4,4,1
John Salmons,Sacramento,3,0,0,1,1-6,0-0,24:09,1,0,-9,2,0,0-1,2,0
DeMarcus Cousins,Sacramento,1,1,1,8,13-25,9-10,36:56,1,4,-10,35,4,0-2,9,3
Marcus Thornton,Sacramento,1,0,0,6,2-11,0-0,40:21,0,3,-4,5,2,1-6,6,1
Greivis Vasquez,Sacramento,6,0,0,1,5-10,1-2,32:22,1,3,-10,12,2,1-4,2,1
Isaiah Thomas,Sacramento,7,0,2,1,5-15,3-3,28:32,1,3,-3,13,1,0-3,2,4
Travis Outlaw,Sacramento,0,0,1,2,4-7,0-0,20:12,0,0,+0,10,0,2-2,2,0
Jason Thompson,Sacramento,0,0,0,2,2-2,0-0,12:49,0,5,-3,4,0,0-0,2,1
Chuck Hayes,Sacramento,1,0,1,0,0-2,0-0,7:04,2,0,-8,0,0,0-0,2,0
Ben McLemore,Sacramento,0,0,0,0,0-0,0-0,7:01,0,4,-11,0,0,0-0,0,0
LaMarcus Aldridge,Portland,1,1,0,6,10-20,0-0,35:56,1,1,+10,20,0,0-0,7,2
Nicolas Batum,Portland,8,0,0,4,5-10,1-2,33:48,3,2,+14,14,0,3-6,7,2
Robin Lopez,Portland,1,1,0,1,4-8,3-4,31:25,3,4,+3,11,0,0-0,4,1
Damian Lillard,Portland,7,0,1,8,5-13,8-8,37:23,0,0,+13,22,1,4-9,8,3
Wesley Matthews,Portland,3,0,0,7,7-11,2-2,33:27,0,3,+8,18,2,2-3,7,5
Mo Williams,Portland,6,1,0,1,1-6,0-0,25:02,1,1,+3,2,0,0-2,2,1
Joel Freeland,Portland,2,2,0,2,2-4,0-0,16:35,2,3,+10,4,1,0-0,4,0
Dorell Wright,Portland,0,0,0,4,1-3,0-0,14:20,0,1,+1,3,0,1-3,4,1
Thomas Robinson,Portland,0,0,0,3,4-5,2-2,12:04,1,3,+3,10,0,0-0,4,2
