Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tim Duncan,San Antonio,2,1,0,8,9-15,7-8,35:15,1,2,+18,25,0,0-0,9,3
Danny Green,San Antonio,5,1,0,4,3-7,0-0,30:49,1,5,+16,7,1,1-2,5,0
Boris Diaw,San Antonio,4,0,1,2,8-12,1-1,31:32,1,0,+18,18,0,1-2,3,2
Cory Joseph,San Antonio,5,0,1,3,4-9,2-2,37:08,1,3,+15,11,3,1-1,4,1
Marco Belinelli,San Antonio,8,0,0,11,6-12,2-2,35:45,0,1,+17,16,0,2-4,11,1
Patty Mills,San Antonio,0,0,0,1,6-13,1-1,19:32,1,2,-1,16,2,3-8,2,1
Matt Bonner,San Antonio,0,0,0,4,3-7,0-0,18:39,0,2,-5,7,2,1-2,4,1
Shannon Brown,San Antonio,0,0,0,0,1-3,0-0,11:33,0,2,+4,2,1,0-0,0,0
Jeff Ayres,San Antonio,0,0,0,0,0-1,0-0,10:34,1,1,-7,0,0,0-0,1,0
Nando De Colo,San Antonio,0,0,0,1,1-3,0-0,9:14,0,1,-15,2,0,0-0,1,0
Jeff Green,Boston,3,0,1,1,4-17,1-2,34:36,1,1,-12,10,1,1-4,2,4
Brandon Bass,Boston,1,0,1,3,5-8,2-2,21:06,2,4,-8,12,0,0-0,5,1
Jared Sullinger,Boston,0,0,0,2,2-9,0-0,18:31,5,1,-21,4,0,0-2,7,2
Rajon Rondo,Boston,4,0,0,2,6-7,0-0,31:09,0,0,-20,16,2,4-5,2,1
Gerald Wallace,Boston,1,0,0,1,3-9,0-0,28:47,0,1,-18,6,1,0-1,1,0
Kelly Olynyk,Boston,2,1,0,9,6-11,3-5,30:54,1,2,+0,15,0,0-3,10,1
Jerryd Bayless,Boston,9,0,0,5,5-7,1-2,25:05,0,2,+3,11,1,0-0,5,1
Kris Humphries,Boston,2,1,0,6,5-9,5-6,22:35,0,3,+6,15,0,0-0,6,1
Chris Johnson,Boston,1,0,0,0,0-1,0-0,13:49,0,0,+4,0,0,0-1,0,0
Phil Pressey,Boston,1,0,0,0,1-1,0-0,10:34,0,1,+7,3,0,1-1,0,3
Joel Anthony,Boston,0,0,0,0,0-1,0-0,2:54,0,0,-1,0,0,0-0,0,0
