Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tim Duncan,San Antonio,0,2,2,10,6-13,4-6,31:40,2,4,-3,16,0,0-0,12,5
Danny Green,San Antonio,3,0,0,2,1-6,0-0,21:17,0,2,-8,3,1,1-4,2,2
Boris Diaw,San Antonio,4,1,1,3,5-9,1-1,33:28,1,2,-5,13,0,2-3,4,2
Cory Joseph,San Antonio,2,1,1,3,3-7,2-2,32:34,1,2,+8,8,1,0-2,4,1
Tony Parker,San Antonio,5,0,1,2,3-13,3-4,26:03,1,1,-14,9,1,0-2,3,1
Nando De Colo,San Antonio,2,0,1,2,5-11,4-4,27:39,0,2,+7,15,0,1-5,2,0
Patty Mills,San Antonio,4,0,0,6,10-13,8-9,25:24,1,1,+15,32,2,4-5,7,2
Jeff Ayres,San Antonio,4,2,0,3,3-4,2-2,22:17,1,1,+14,8,1,0-0,4,0
Matt Bonner,San Antonio,0,0,0,5,0-1,0-0,19:29,0,1,+7,0,1,0-0,5,0
Shannon Brown,San Antonio,0,0,0,0,0-0,0-0,0:10,0,0,-1,0,0,0-0,0,0
Josh McRoberts,Charlotte,1,1,0,4,3-5,0-0,29:53,0,3,+2,7,1,1-3,4,1
Michael Kidd-Gilchrist,Charlotte,1,0,2,6,2-7,0-0,28:20,6,0,+0,4,1,0-0,12,1
Al Jefferson,Charlotte,3,3,0,6,12-21,2-2,38:11,3,3,+9,26,4,0-0,9,3
Kemba Walker,Charlotte,8,0,0,4,7-19,4-4,39:50,0,6,-2,18,1,0-3,4,1
Gerald Henderson,Charlotte,4,0,2,4,8-19,5-8,35:07,1,2,+2,23,1,2-5,5,4
Ramon Sessions,Charlotte,5,0,1,2,4-9,1-2,20:54,0,0,-9,10,1,1-1,2,1
Anthony Tolliver,Charlotte,0,1,0,6,2-5,0-0,19:40,1,1,-4,6,0,2-4,7,0
Cody Zeller,Charlotte,2,1,0,2,1-3,4-6,18:07,0,0,-6,6,1,0-0,2,0
Bismack Biyombo,Charlotte,0,0,1,0,0-1,0-0,9:49,2,3,-13,0,0,0-0,2,0
Jannero Pargo,Charlotte,0,0,0,0,0-0,0-0,0:10,0,0,+1,0,0,0-0,0,0
