Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tim Duncan,San Antonio,3,4,0,11,6-16,7-10,38:31,2,5,+0,19,1,0-0,13,3
Manu Ginobili,San Antonio,2,0,0,4,8-17,2-3,26:53,1,3,+0,18,2,0-5,5,2
Tony Parker,San Antonio,3,0,0,6,7-18,4-6,40:29,0,2,+0,18,2,0-0,6,1
Boris Diaw,San Antonio,2,1,0,2,0-1,2-2,17:04,0,4,+0,2,0,0-0,2,2
Matt Bonner,San Antonio,0,1,0,1,1-2,0-0,11:34,1,0,+0,2,0,0-1,2,0
Tiago Splitter,San Antonio,0,0,0,4,4-7,2-5,25:56,1,0,+0,10,0,0-0,5,0
DeJuan Blair,San Antonio,0,0,0,2,1-3,0-0,3:02,3,1,+0,2,0,0-0,5,1
Danny Green,San Antonio,2,0,0,3,7-15,2-2,38:24,1,2,+0,20,1,4-9,4,0
Nando De Colo,San Antonio,0,0,0,1,0-2,0-0,5:29,0,0,+0,0,0,0-1,1,0
Patty Mills,San Antonio,1,0,0,0,0-0,0-0,9:50,0,1,+0,0,1,0-0,0,0
Gary Neal,San Antonio,1,0,0,1,0-6,0-0,9:12,0,0,+0,0,0,0-3,1,0
Kawhi Leonard,San Antonio,3,1,0,5,3-8,4-4,38:36,1,4,+0,10,0,0-3,6,0
Richard Jefferson,Golden State,1,0,0,1,0-0,0-1,6:28,0,1,+0,0,0,0-0,1,0
Andris Biedrins,Golden State,0,0,0,3,0-0,0-0,15:48,0,3,+0,0,1,0-0,3,0
Jarrett Jack,Golden State,10,1,0,3,11-22,7-9,42:06,0,0,+0,30,1,1-6,3,1
David Lee,Golden State,1,0,0,17,10-20,5-6,42:05,5,4,+0,25,1,0-0,22,3
Carl Landry,Golden State,1,2,0,6,5-7,1-1,21:03,2,4,+0,11,1,0-0,8,2
Stephen Curry,Golden State,6,0,0,4,6-17,4-5,44:55,0,2,+0,19,1,3-9,4,2
Klay Thompson,Golden State,3,1,0,3,5-14,0-0,43:32,0,3,+0,10,1,0-3,3,1
Harrison Barnes,Golden State,3,0,0,4,1-8,5-6,31:17,0,4,+0,7,0,0-2,4,2
Festus Ezeli,Golden State,0,0,0,1,0-1,2-2,4:37,0,2,+0,2,0,0-0,1,0
Draymond Green,Golden State,0,1,0,6,1-5,0-0,12:43,2,0,+0,3,0,1-1,8,1
Kent Bazemore,Golden State,0,0,0,0,0-0,0-0,0:26,0,0,+0,0,0,0-0,0,0
