Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kawhi Leonard,San Antonio,2,1,0,8,5-9,1-2,36:44,3,1,+19,13,1,2-4,11,1
Tim Duncan,San Antonio,4,3,0,4,3-10,3-4,30:45,2,3,+18,9,1,0-0,6,3
Tiago Splitter,San Antonio,1,0,0,3,2-5,5-6,31:42,3,1,+12,9,0,0-0,6,1
Tony Parker,San Antonio,4,0,1,0,10-18,2-2,33:43,1,1,+22,22,0,0-0,1,1
Danny Green,San Antonio,1,1,0,1,2-5,0-0,19:21,0,2,+2,5,2,1-3,1,0
Boris Diaw,San Antonio,4,0,0,2,5-8,2-2,25:44,2,4,+14,14,0,2-4,4,0
Marco Belinelli,San Antonio,0,0,1,3,2-7,2-2,20:30,1,2,+13,7,2,1-3,4,0
Manu Ginobili,San Antonio,2,0,0,1,2-6,2-2,16:49,1,3,+14,6,2,0-1,2,2
Patty Mills,San Antonio,0,0,0,1,3-5,2-2,13:16,0,0,+4,10,1,2-2,1,0
Austin Daye,San Antonio,0,0,0,1,0-2,0-0,4:12,0,0,+4,0,0,0-0,1,0
Jeff Ayres,San Antonio,0,0,0,0,2-2,2-3,3:37,2,1,+4,6,1,0-0,2,0
Cory Joseph,San Antonio,0,0,1,1,1-3,0-0,3:37,0,1,+4,2,0,0-0,1,0
Paul George,Indiana,5,0,1,6,5-13,5-8,35:49,0,2,-19,16,3,1-4,6,5
David West,Indiana,2,0,0,6,2-6,3-4,28:58,2,3,-12,7,0,0-0,8,3
Roy Hibbert,Indiana,0,0,3,5,5-13,5-6,33:52,2,3,-18,15,0,0-0,7,1
George Hill,Indiana,0,1,1,3,3-6,0-0,36:37,0,0,-19,7,0,1-1,3,0
Lance Stephenson,Indiana,3,0,0,3,6-13,0-0,27:30,0,1,-12,15,0,3-5,3,2
Rasual Butler,Indiana,0,1,0,1,2-3,2-2,22:05,0,2,-9,7,0,1-2,1,1
Luis Scola,Indiana,3,0,0,0,1-6,0-0,15:25,1,3,-10,2,1,0-0,1,0
Donald Sloan,Indiana,1,0,0,0,1-6,2-2,11:23,0,1,-7,4,0,0-2,0,0
Ian Mahinmi,Indiana,0,0,0,0,1-1,0-0,10:31,2,3,-4,2,0,0-0,2,1
Evan Turner,Indiana,0,0,0,1,0-2,0-0,6:59,0,2,-8,0,0,0-0,1,0
Lavoy Allen,Indiana,0,1,0,1,0-0,2-2,3:37,0,0,-4,2,0,0-0,1,0
Chris Copeland,Indiana,0,0,0,0,0-0,0-0,3:37,0,0,-4,0,0,0-0,0,2
Solomon Hill,Indiana,0,0,0,1,0-0,0-0,3:37,0,2,-4,0,0,0-0,1,0
