Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tim Duncan,San Antonio,1,0,0,8,3-13,3-4,30:14,3,1,+0,9,0,0-0,11,1
Tracy McGrady,San Antonio,2,1,0,2,0-1,0-0,7:43,0,0,+0,0,0,0-0,2,0
Manu Ginobili,San Antonio,1,0,0,2,2-6,0-0,17:52,0,3,+0,5,1,1-4,2,3
Tony Parker,San Antonio,5,1,0,2,5-14,3-4,33:01,1,0,+0,13,0,0-1,3,5
Boris Diaw,San Antonio,2,0,0,0,0-0,0-0,10:58,0,1,+0,0,0,0-0,0,0
Matt Bonner,San Antonio,0,0,0,1,2-4,0-0,7:43,0,0,+0,5,0,1-2,1,0
Tiago Splitter,San Antonio,1,1,0,1,2-5,0-0,22:37,0,1,+0,4,0,0-0,1,1
DeJuan Blair,San Antonio,0,0,0,3,1-4,0-0,7:43,1,0,+0,2,1,0-0,4,0
Danny Green,San Antonio,1,1,0,1,6-6,0-0,30:00,0,4,+0,17,0,5-5,1,1
Patty Mills,San Antonio,0,0,0,0,1-3,0-0,7:43,0,0,+0,2,0,0-2,0,0
Gary Neal,San Antonio,0,0,0,2,3-7,2-2,21:52,0,2,+0,10,0,2-3,2,3
Kawhi Leonard,San Antonio,2,0,0,6,4-12,0-1,33:29,8,2,+0,9,1,1-3,14,1
Cory Joseph,San Antonio,1,0,0,1,3-3,2-3,9:05,2,0,+0,8,0,0-0,3,1
Ray Allen,Miami,0,0,0,1,5-8,0-0,24:56,0,0,+0,13,0,3-5,1,0
Rashard Lewis,Miami,1,0,0,1,2-3,0-0,4:58,0,0,+0,4,0,0-0,1,1
Mike Miller,Miami,1,0,0,0,3-3,0-0,15:57,0,2,+0,9,1,3-3,0,0
Shane Battier,Miami,0,0,0,1,1-3,0-0,4:58,0,0,+0,3,0,1-3,1,0
Chris Andersen,Miami,0,1,0,3,3-3,3-4,14:19,1,5,+0,9,1,0-0,4,1
LeBron James,Miami,7,3,0,7,7-17,2-2,40:33,1,2,+0,17,3,1-3,8,2
Chris Bosh,Miami,4,1,0,6,6-10,0-0,31:12,4,1,+0,12,3,0-0,10,0
Dwyane Wade,Miami,6,1,0,2,5-13,0-2,29:34,0,1,+0,10,0,0-0,2,2
James Jones,Miami,0,0,0,0,0-2,0-0,4:58,0,1,+0,0,0,0-0,0,0
Udonis Haslem,Miami,0,0,0,0,2-4,1-1,15:37,2,2,+0,5,0,0-0,2,0
Joel Anthony,Miami,0,0,0,1,0-0,0-0,4:58,0,0,+0,0,0,0-0,1,0
Mario Chalmers,Miami,2,0,0,4,6-12,5-5,35:22,0,1,+0,19,1,2-4,4,0
Norris Cole,Miami,1,0,0,1,1-5,0-0,12:38,1,2,+0,2,0,0-1,2,0
