Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tim Duncan,San Antonio,1,3,0,4,5-14,3-3,25:56,4,2,+0,13,0,0-0,8,5
Stephen Jackson,San Antonio,1,0,0,2,2-6,1-2,18:43,0,2,+0,6,0,1-4,2,2
Manu Ginobili,San Antonio,4,0,0,4,7-13,5-5,24:44,1,2,+0,21,2,2-5,5,2
Tony Parker,San Antonio,3,0,0,1,7-11,2-4,32:44,0,2,+0,16,2,0-1,1,5
Boris Diaw,San Antonio,3,0,0,4,2-5,1-2,20:44,1,2,+0,5,0,0-1,5,1
Matt Bonner,San Antonio,0,0,0,0,0-0,0-0,8:01,0,0,+0,0,0,0-0,0,0
Tiago Splitter,San Antonio,2,2,0,2,2-4,4-4,26:29,3,0,+0,8,2,0-0,5,0
Danny Green,San Antonio,1,0,0,1,0-5,0-0,19:52,0,3,+0,0,0,0-4,1,2
Nando De Colo,San Antonio,1,0,0,1,0-0,0-0,1:48,0,0,+0,0,0,0-0,1,0
Patty Mills,San Antonio,0,0,0,0,0-0,0-0,1:48,0,0,+0,0,0,0-0,0,0
Gary Neal,San Antonio,3,0,0,1,4-9,0-0,28:00,0,1,+0,9,0,1-2,1,0
Kawhi Leonard,San Antonio,1,1,0,3,4-6,0-0,31:11,0,1,+0,10,1,2-4,3,2
Jason Smith,New Orleans,0,0,0,0,4-4,0-0,16:44,0,0,+0,8,0,0-0,0,0
Eric Gordon,New Orleans,2,1,0,1,9-22,6-6,32:33,3,1,+0,24,1,0-3,4,2
Robin Lopez,New Orleans,0,0,0,3,4-6,0-0,20:22,3,1,+0,8,0,0-0,6,3
Ryan Anderson,New Orleans,1,0,0,3,4-13,2-2,32:13,2,4,+0,13,2,3-6,5,0
Al-Farouq Aminu,New Orleans,3,1,0,10,2-5,0-0,37:16,0,2,+0,4,3,0-1,10,5
Greivis Vasquez,New Orleans,11,0,0,2,6-10,1-2,35:44,1,2,+0,14,2,1-2,3,3
Donald Sloan,New Orleans,0,0,0,0,0-0,0-0,0:28,0,0,+0,0,0,0-0,0,0
Lance Thomas,New Orleans,1,0,0,2,1-2,0-0,10:44,1,2,+0,2,0,0-0,3,0
Anthony Davis,New Orleans,0,1,0,5,8-13,1-2,26:13,4,1,+0,17,3,0-0,9,1
Austin Rivers,New Orleans,3,0,0,1,0-2,0-0,14:28,0,1,+0,0,0,0-0,1,0
Brian Roberts,New Orleans,2,0,0,1,2-6,0-0,13:15,0,1,+0,5,1,1-1,1,0
