Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tim Duncan,San Antonio,1,1,1,4,12-23,0-0,31:03,3,3,-8,24,0,0-1,7,0
Kawhi Leonard,San Antonio,1,0,2,1,4-9,1-1,26:26,0,2,-11,9,2,0-0,1,1
Tiago Splitter,San Antonio,0,0,0,2,0-2,0-0,18:15,2,2,-4,0,0,0-0,4,1
Tony Parker,San Antonio,9,0,1,4,7-20,3-5,33:12,1,4,-5,17,1,0-1,5,3
Danny Green,San Antonio,0,1,0,0,0-3,0-0,17:02,0,1,+0,0,0,0-1,0,0
Boris Diaw,San Antonio,4,0,0,4,6-7,1-1,30:49,1,3,-5,14,0,1-1,5,2
Marco Belinelli,San Antonio,4,0,1,3,8-12,0-0,26:30,0,4,-2,19,2,3-3,3,2
Manu Ginobili,San Antonio,3,0,2,2,5-12,0-0,26:02,1,2,-7,11,1,1-4,3,2
Patty Mills,San Antonio,1,0,0,2,2-3,0-0,14:48,0,1,-5,5,0,1-1,2,1
Jeff Ayres,San Antonio,0,0,0,1,2-2,0-1,8:28,2,2,-2,4,0,0-0,3,0
Aron Baynes,San Antonio,1,0,0,0,1-1,0-0,7:25,2,1,-1,2,0,0-0,2,0
LaMarcus Aldridge,Portland,4,2,0,7,11-17,2-2,38:15,0,1,+11,24,1,0-0,7,3
Nicolas Batum,Portland,11,1,0,8,4-11,2-3,35:54,4,2,+5,11,0,1-4,12,4
Robin Lopez,Portland,1,2,0,3,6-10,0-0,39:45,3,1,+13,12,0,0-0,6,0
Damian Lillard,Portland,7,0,1,7,7-16,8-8,36:06,0,2,+16,25,0,3-8,7,3
Wesley Matthews,Portland,2,1,1,3,8-13,1-2,33:29,0,1,+4,20,1,3-6,3,1
Mo Williams,Portland,2,1,0,0,6-9,0-0,23:15,0,3,+8,13,0,1-2,0,2
Dorell Wright,Portland,1,0,0,2,0-0,2-2,15:28,0,0,+0,2,1,0-0,2,1
Thomas Robinson,Portland,1,0,0,1,2-3,0-0,9:33,0,3,-4,4,0,0-0,1,0
Joel Freeland,Portland,0,0,0,1,1-2,2-2,8:15,0,2,-3,4,0,0-0,1,2
