Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kawhi Leonard,San Antonio,2,0,0,2,6-8,0-0,30:45,1,1,+11,13,2,1-3,3,2
Tim Duncan,San Antonio,3,0,1,10,9-17,4-6,28:40,2,2,+5,22,0,0-0,12,2
Jeff Ayres,San Antonio,1,0,3,1,0-4,0-0,11:54,3,2,-8,0,0,0-0,4,1
Tony Parker,San Antonio,7,0,1,5,6-15,3-3,29:51,0,2,+14,15,0,0-1,5,2
Danny Green,San Antonio,0,1,0,4,1-4,0-0,17:12,0,2,+9,3,0,1-3,4,0
Marco Belinelli,San Antonio,1,0,2,3,4-8,0-0,24:16,0,1,+9,11,0,3-3,3,1
Boris Diaw,San Antonio,3,0,0,4,2-3,0-0,23:20,0,1,+23,4,1,0-1,4,0
Manu Ginobili,San Antonio,3,0,0,6,2-6,2-2,21:29,0,1,+3,6,1,0-3,6,2
Patty Mills,San Antonio,2,0,0,1,5-7,0-0,17:07,2,2,+7,11,1,1-2,3,0
Aron Baynes,San Antonio,2,0,2,6,4-8,1-1,16:46,2,1,+11,9,0,0-0,8,0
Matt Bonner,San Antonio,0,0,0,2,2-5,0-0,15:12,0,0,+1,6,0,2-4,2,0
Nando De Colo,San Antonio,0,0,0,0,0-1,0-0,2:26,0,0,+0,0,0,0-0,0,0
Cory Joseph,San Antonio,0,0,2,0,0-2,0-0,1:02,1,0,-5,0,1,0-0,1,0
Marvin Williams,Utah,2,3,0,7,4-7,0-0,27:10,0,3,-4,10,1,2-4,7,0
Richard Jefferson,Utah,1,1,0,4,3-5,1-1,24:10,0,0,-10,8,0,1-1,4,0
Derrick Favors,Utah,0,2,1,6,3-8,0-0,31:00,1,4,-8,6,0,0-0,7,2
Gordon Hayward,Utah,5,1,0,5,7-16,4-5,40:01,0,1,-12,18,2,0-4,5,1
Trey Burke,Utah,5,0,0,2,9-18,1-2,32:08,0,2,-14,20,0,1-4,2,2
Alec Burks,Utah,0,0,0,1,4-16,1-1,26:29,1,2,-8,9,0,0-4,2,0
Jeremy Evans,Utah,2,2,0,7,2-7,0-0,20:50,4,0,-12,4,1,0-0,11,1
Enes Kanter,Utah,0,2,0,0,1-6,1-2,15:58,1,3,-13,3,0,0-0,1,2
John Lucas III,Utah,1,0,0,1,1-2,0-0,10:40,0,1,+5,3,0,1-1,1,0
Diante Garrett,Utah,1,0,0,0,0-1,0-0,6:14,0,0,-2,0,1,0-0,0,1
Brandon Rush,Utah,0,0,0,0,1-3,0-0,4:18,0,1,-7,3,0,1-2,0,0
Mike Harris,Utah,0,0,0,1,0-0,0-0,1:02,1,0,+5,0,0,0-0,2,0
