Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Danny Green,San Antonio,2,2,0,7,7-16,3-4,46:19,0,4,+13,22,1,5-11,7,4
Tim Duncan,San Antonio,5,3,2,9,13-20,5-7,40:08,2,6,+13,31,2,0-0,11,3
Tiago Splitter,San Antonio,3,1,1,9,3-7,1-1,33:41,3,4,+10,7,0,0-1,12,1
Cory Joseph,San Antonio,4,0,0,2,4-7,0-0,27:40,1,1,+4,8,3,0-0,3,1
Tony Parker,San Antonio,5,0,1,0,2-5,0-0,18:54,0,0,-13,4,0,0-1,0,4
Marco Belinelli,San Antonio,1,0,1,4,6-11,2-2,38:06,0,2,+5,14,1,0-2,4,0
Boris Diaw,San Antonio,1,0,0,2,2-5,0-0,21:13,1,2,+1,4,0,0-1,3,2
Patty Mills,San Antonio,4,0,0,5,7-14,5-5,20:23,1,2,+11,23,0,4-9,6,1
Nando De Colo,San Antonio,3,1,0,2,3-7,2-2,16:51,2,4,+9,8,1,0-1,4,1
Matt Bonner,San Antonio,0,2,1,1,0-4,1-2,14:17,1,0,-4,1,0,0-2,2,0
Jeff Ayres,San Antonio,2,0,0,1,0-0,1-2,6:14,0,1,-7,1,0,0-0,1,1
Shannon Brown,San Antonio,0,0,0,0,1-2,0-0,6:14,0,1,-7,2,0,0-0,0,2
Trevor Ariza,Washington,2,0,2,8,5-12,4-4,45:22,2,5,-20,15,0,1-5,10,2
Nene Hilario,Washington,3,1,0,7,4-14,4-6,37:50,0,3,-14,12,2,0-0,7,3
Marcin Gortat,Washington,0,2,2,1,3-8,5-8,38:48,5,3,-19,11,0,0-0,6,1
John Wall,Washington,9,1,2,5,12-29,3-4,44:18,0,1,-17,29,4,2-5,5,4
Bradley Beal,Washington,3,0,2,5,7-16,5-6,34:21,0,0,-3,19,1,0-2,5,2
Martell Webster,Washington,1,0,0,2,3-5,2-2,36:17,2,2,+9,10,0,2-4,4,1
Trevor Booker,Washington,0,2,1,5,5-7,0-0,25:23,1,1,+10,10,0,0-0,6,0
Garrett Temple,Washington,1,0,0,0,2-3,2-2,14:00,1,1,+12,6,3,0-0,1,1
Kevin Seraphin,Washington,0,0,0,3,3-7,0-0,13:42,2,2,+7,6,0,0-0,5,1
