Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Amir Johnson,Toronto,2,1,0,9,5-8,3-3,45:28,2,4,+0,13,0,0-0,11,0
Alan Anderson,Toronto,1,0,0,0,1-3,0-0,6:18,0,1,+0,3,0,1-2,0,1
John Lucas III,Toronto,2,0,0,0,2-6,0-0,13:38,0,0,+0,4,1,0-1,0,1
Rudy Gay,Toronto,2,0,0,6,6-14,4-5,36:56,0,4,+0,19,0,3-5,6,1
Kyle Lowry,Toronto,10,0,0,3,6-11,0-0,34:22,0,2,+0,13,2,1-5,3,2
DeMar DeRozan,Toronto,2,0,0,2,8-13,4-7,34:20,0,1,+0,20,1,0-2,2,0
Landry Fields,Toronto,0,0,0,0,0-0,0-0,0:03,0,0,+0,0,0,0-0,0,0
Jonas Valanciunas,Toronto,2,1,0,3,2-3,4-4,23:17,0,5,+0,8,1,0-0,3,2
Terrence Ross,Toronto,0,0,0,2,5-9,1-1,18:26,0,1,+0,13,0,2-3,2,0
Quincy Acy,Toronto,1,1,0,5,2-5,4-4,27:12,1,3,+0,8,1,0-0,6,1
Nazr Mohammed,Chicago,0,1,0,4,3-9,0-0,25:14,6,2,+0,6,0,0-0,10,1
Richard Hamilton,Chicago,1,0,0,0,2-5,0-0,14:16,0,1,+0,4,0,0-1,0,1
Vladimir Radmanovic,Chicago,0,0,0,0,0-0,0-0,0:33,0,0,+0,0,0,0-0,0,0
Carlos Boozer,Chicago,8,0,0,9,7-20,5-6,43:52,2,2,+0,19,0,0-0,11,4
Kirk Hinrich,Chicago,6,0,0,3,2-5,0-0,32:27,0,4,+0,5,0,1-2,3,0
Nate Robinson,Chicago,4,0,0,1,7-22,3-5,30:40,0,4,+0,22,0,5-9,1,2
Marco Belinelli,Chicago,1,0,0,0,3-7,1-1,18:37,0,1,+0,8,0,1-2,0,0
Jimmy Butler,Chicago,2,0,0,5,10-12,5-6,48:00,2,3,+0,28,2,3-3,7,2
Malcolm Thomas,Chicago,2,1,0,5,3-6,0-2,26:21,3,4,+0,6,1,0-0,8,0
