Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Amir Johnson,Toronto,0,0,0,4,5-8,4-6,38:42,2,5,+11,15,3,1-2,6,0
Terrence Ross,Toronto,0,0,0,2,5-9,2-2,29:51,0,1,+10,15,1,3-4,2,2
Jonas Valanciunas,Toronto,0,1,1,9,8-13,2-2,34:49,4,1,-1,18,1,0-0,13,1
DeMar DeRozan,Toronto,9,1,0,5,6-18,2-3,42:19,2,1,+1,15,1,1-2,7,6
Kyle Lowry,Toronto,6,0,0,3,7-16,3-3,40:51,2,2,-7,20,1,3-7,5,3
John Salmons,Toronto,1,0,1,3,2-7,0-0,31:52,0,3,-4,5,1,1-1,3,1
Patrick Patterson,Toronto,1,0,1,4,3-8,1-2,24:46,2,1,-6,7,1,0-1,6,0
Greivis Vasquez,Toronto,0,0,0,1,6-11,0-0,14:31,1,0,+3,14,0,2-4,2,2
Tyler Hansbrough,Toronto,0,1,0,1,0-0,0-0,5:27,1,0,-4,0,0,0-0,2,0
Chuck Hayes,Toronto,0,0,0,0,0-1,0-0,1:53,0,0,+2,0,0,0-0,0,0
Dirk Nowitzki,Dallas,5,0,0,7,10-22,0-1,42:53,2,4,+13,22,0,2-6,9,0
Shawn Marion,Dallas,2,0,0,8,7-14,0-0,40:47,1,1,-16,14,4,0-2,9,2
DeJuan Blair,Dallas,0,0,1,4,2-4,0-0,21:06,0,0,-2,4,1,0-0,4,0
Monta Ellis,Dallas,11,0,0,1,9-19,3-3,45:32,1,2,+3,21,4,0-0,2,3
Jose Calderon,Dallas,9,0,1,3,8-13,0-0,37:13,1,1,+1,23,2,7-10,4,1
Brandan Wright,Dallas,0,2,0,1,5-8,3-6,26:03,5,2,+9,13,0,0-0,6,1
Vince Carter,Dallas,2,0,0,2,0-1,0-0,17:49,1,4,-11,0,2,0-0,3,6
Jae Crowder,Dallas,0,1,0,6,2-4,0-0,14:22,0,0,+4,5,0,1-2,6,1
Shane Larkin,Dallas,2,0,1,1,2-4,0-0,13:25,0,2,+2,4,0,0-1,1,1
Samuel Dalembert,Dallas,0,0,0,1,1-2,0-0,5:51,0,1,-8,2,0,0-0,1,0
