Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Rudy Gay,Toronto,2,1,3,9,11-37,4-4,49:23,1,6,+0,29,4,3-8,10,2
Amir Johnson,Toronto,0,1,2,6,4-10,2-6,34:28,5,5,-9,10,0,0-0,11,2
Jonas Valanciunas,Toronto,3,1,0,6,4-9,2-3,29:34,7,6,+12,10,0,0-0,13,4
DeMar DeRozan,Toronto,1,1,6,2,6-25,10-11,52:53,1,1,-9,22,4,0-2,3,0
Kyle Lowry,Toronto,2,0,0,1,6-16,0-0,47:44,1,6,+1,16,1,4-10,2,2
Terrence Ross,Toronto,0,0,0,2,4-6,0-0,27:31,1,6,+5,9,1,1-3,3,0
Dwight Buycks,Toronto,0,0,1,1,2-6,1-1,15:12,2,1,-7,5,0,0-1,3,1
Landry Fields,Toronto,0,0,1,3,0-1,1-2,15:09,0,2,-13,1,0,0-0,3,2
Tyler Hansbrough,Toronto,1,0,1,1,1-3,0-0,9:18,2,2,-7,2,0,0-0,3,0
Quincy Acy,Toronto,1,1,0,0,0-1,0-0,8:47,0,3,-3,0,2,0-1,0,0
Aaron Gray,Toronto,0,0,0,0,0-0,0-0,0:01,0,0,+0,0,0,0-0,0,0
Chandler Parsons,Houston,5,1,0,5,7-16,3-3,49:57,0,6,-1,18,1,1-5,5,2
Dwight Howard,Houston,2,5,1,18,7-12,4-12,44:48,6,5,+2,18,1,0-0,24,3
Omer Asik,Houston,0,1,2,1,2-4,0-2,18:50,1,2,+1,4,0,0-0,2,0
James Harden,Houston,10,1,0,3,7-19,9-11,47:43,0,4,+3,26,3,3-9,3,6
Patrick Beverley,Houston,0,0,1,3,0-5,1-2,24:22,1,4,+5,1,0,0-4,4,3
Jeremy Lin,Houston,1,1,0,5,10-17,8-9,45:52,0,3,+7,31,2,3-6,5,5
Terrence Jones,Houston,0,4,1,7,3-7,1-2,32:08,3,5,-4,7,0,0-0,10,2
Omri Casspi,Houston,3,1,0,4,1-4,3-6,26:14,2,1,+16,5,1,0-2,6,2
Aaron Brooks,Houston,0,0,0,0,0-0,0-0,0:06,0,0,+1,0,0,0-0,0,0
