Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mickael Pietrus,Toronto,0,0,0,0,2-3,0-0,10:41,0,3,+0,5,1,1-1,0,1
Linas Kleiza,Toronto,0,0,0,2,0-1,0-0,4:59,1,0,+0,0,0,0-0,3,0
Amir Johnson,Toronto,2,3,0,5,6-9,0-2,37:39,3,4,+0,12,1,0-0,8,2
Jose Calderon,Toronto,6,0,0,5,1-6,0-0,30:23,0,0,+0,2,0,0-3,5,1
Alan Anderson,Toronto,3,0,0,1,5-14,4-5,36:10,1,1,+0,16,3,2-9,2,1
Kyle Lowry,Toronto,8,2,0,3,5-7,6-6,27:31,0,4,+0,17,1,1-2,3,0
Aaron Gray,Toronto,1,0,0,2,2-3,1-3,15:21,2,4,+0,5,0,0-0,4,1
DeMar DeRozan,Toronto,1,0,0,5,9-22,11-13,49:29,1,1,+0,30,3,1-3,6,0
Ed Davis,Toronto,3,1,0,5,6-12,1-1,29:11,0,4,+0,13,0,0-0,5,1
Terrence Ross,Toronto,0,0,0,4,1-8,2-2,23:36,1,1,+0,4,1,0-6,5,0
Roger Mason Jr.,New Orleans,1,0,0,0,0-0,0-0,11:12,0,1,+0,0,0,0-0,0,0
Jason Smith,New Orleans,1,0,0,2,1-3,0-0,12:10,1,2,+0,2,0,0-0,3,1
Dominic McGuire,New Orleans,2,0,0,2,0-0,0-0,12:03,0,0,+0,0,0,0-0,2,1
Robin Lopez,New Orleans,1,0,0,5,3-8,3-5,27:56,3,1,+0,9,0,0-0,8,2
Ryan Anderson,New Orleans,0,1,0,8,7-15,0-0,31:08,4,0,+0,17,0,3-6,12,1
Al-Farouq Aminu,New Orleans,0,0,0,0,0-0,0-0,3:48,0,3,+0,0,0,0-0,0,0
Xavier Henry,New Orleans,0,0,0,0,0-0,2-2,4:41,0,0,+0,2,0,0-0,0,0
Greivis Vasquez,New Orleans,14,0,0,8,7-15,6-6,41:36,1,1,+0,20,0,0-1,9,6
Lance Thomas,New Orleans,1,1,0,4,0-0,1-2,27:32,0,5,+0,1,0,0-0,4,0
Anthony Davis,New Orleans,0,3,0,8,11-20,3-3,34:46,1,4,+0,25,1,0-0,9,2
Austin Rivers,New Orleans,1,1,0,3,5-12,0-2,41:11,0,1,+0,11,1,1-2,3,3
Brian Roberts,New Orleans,2,0,0,0,3-9,3-4,16:57,1,5,+0,10,0,1-4,1,0
