Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jamaal Tinsley,Utah,9,1,0,2,1-3,1-2,26:56,0,2,+0,4,0,1-2,2,4
Earl Watson,Utah,5,0,0,1,2-4,0-0,21:04,1,3,+0,4,1,0-1,2,1
Al Jefferson,Utah,3,0,0,9,10-19,3-5,38:26,1,0,+0,23,1,0-0,10,2
Randy Foye,Utah,2,0,0,0,8-12,3-4,40:43,0,3,+0,25,2,6-7,0,2
Paul Millsap,Utah,5,0,0,10,8-16,4-4,36:23,3,5,+0,20,2,0-1,13,1
DeMarre Carroll,Utah,2,0,0,1,3-6,0-0,19:20,0,0,+0,7,1,1-4,1,0
Derrick Favors,Utah,1,2,0,3,0-2,0-0,14:31,0,3,+0,0,1,0-0,3,3
Gordon Hayward,Utah,2,1,0,1,4-9,4-4,28:40,0,1,+0,12,0,0-4,1,2
Alec Burks,Utah,0,0,0,1,0-3,0-0,7:17,0,4,+0,0,0,0-1,1,1
Enes Kanter,Utah,0,0,0,0,0-2,0-0,6:40,2,1,+0,0,1,0-0,2,0
Zaza Pachulia,Atlanta,1,0,0,1,5-7,2-3,19:46,2,5,+0,12,1,0-0,3,1
Kyle Korver,Atlanta,2,0,0,2,1-4,0-0,21:11,0,1,+0,3,0,1-2,2,0
Devin Harris,Atlanta,5,0,0,3,7-8,6-8,35:21,1,1,+0,24,2,4-5,4,3
Josh Smith,Atlanta,6,1,0,10,7-14,1-4,35:47,0,0,+0,15,0,0-3,10,2
Lou Williams,Atlanta,3,1,0,2,5-13,2-3,33:41,0,1,+0,14,2,2-6,2,3
Al Horford,Atlanta,3,2,0,2,6-9,0-0,30:20,1,3,+0,12,1,0-0,3,1
Jeff Teague,Atlanta,4,0,0,1,2-6,2-3,26:58,0,3,+0,7,3,1-2,1,3
Ivan Johnson,Atlanta,0,1,0,7,6-10,1-2,26:02,0,2,+0,13,1,0-0,7,0
John Jenkins,Atlanta,0,0,0,1,1-1,0-0,10:54,0,2,+0,3,0,1-1,1,0
