Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jamaal Tinsley,Utah,2,1,0,3,1-5,0-0,11:55,0,1,+0,2,1,0-3,3,0
Mo Williams,Utah,6,0,0,1,6-17,4-4,36:05,1,2,+0,19,0,3-7,2,5
Al Jefferson,Utah,1,0,0,8,8-15,0-0,32:37,3,4,+0,16,0,0-0,11,1
Marvin Williams,Utah,2,0,0,5,5-11,1-2,29:45,5,2,+0,11,1,0-3,10,0
Randy Foye,Utah,3,0,0,1,3-7,0-0,26:58,0,4,+0,8,0,2-5,1,1
Paul Millsap,Utah,2,1,0,4,6-11,0-1,25:49,4,2,+0,12,3,0-0,8,1
DeMarre Carroll,Utah,0,0,0,1,1-2,0-0,18:07,2,1,+0,2,0,0-1,3,0
Derrick Favors,Utah,2,3,0,1,4-10,5-6,24:52,1,4,+0,13,0,0-0,2,1
Gordon Hayward,Utah,5,2,0,4,2-3,3-3,21:25,0,2,+0,7,0,0-1,4,4
Enes Kanter,Utah,0,1,0,2,1-2,0-0,12:28,2,2,+0,2,0,0-0,4,2
Joe Johnson,Brooklyn,2,0,0,3,7-15,4-4,40:18,1,1,+0,21,2,3-6,4,1
Gerald Wallace,Brooklyn,3,0,0,3,5-10,0-1,33:07,0,1,+0,11,1,1-2,3,2
Reggie Evans,Brooklyn,1,0,0,3,0-4,1-2,19:40,4,2,+0,1,1,0-0,7,0
Keith Bogans,Brooklyn,0,0,0,0,0-2,0-0,7:28,0,2,+0,0,0,0-2,0,0
Kris Humphries,Brooklyn,1,0,0,5,3-5,2-2,28:11,6,2,+0,8,0,0-0,11,2
Deron Williams,Brooklyn,5,0,0,2,5-12,4-6,35:00,0,3,+0,14,1,0-3,2,3
Andray Blatche,Brooklyn,2,0,0,3,4-7,0-0,15:59,1,4,+0,8,0,0-0,4,3
C.J. Watson,Brooklyn,1,0,0,1,3-6,0-0,13:31,0,2,+0,9,1,3-4,1,0
Brook Lopez,Brooklyn,0,3,0,5,5-12,6-7,30:28,0,1,+0,16,2,0-0,5,0
MarShon Brooks,Brooklyn,1,0,0,1,1-4,0-0,16:18,0,1,+0,2,0,0-0,1,2
