Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Marvin Williams,Utah,2,1,1,4,2-8,0-0,29:39,2,3,+12,5,3,1-3,6,1
Richard Jefferson,Utah,0,0,0,3,5-10,1-2,20:49,0,2,+20,13,0,2-4,3,1
Derrick Favors,Utah,2,0,2,6,5-11,4-4,35:32,3,2,+5,14,1,0-0,9,1
Gordon Hayward,Utah,3,0,1,8,3-11,4-4,37:05,2,0,+9,12,2,2-4,10,3
Trey Burke,Utah,4,0,0,2,7-16,2-2,26:23,1,2,+14,20,0,4-8,3,0
Alec Burks,Utah,3,1,1,3,4-8,3-4,30:05,0,2,-19,11,1,0-0,3,1
Enes Kanter,Utah,1,0,2,2,4-8,0-0,17:42,2,4,-6,8,1,0-0,4,0
John Lucas III,Utah,3,0,0,2,1-3,0-0,16:25,1,1,-3,3,0,1-2,3,0
Jeremy Evans,Utah,1,1,1,1,1-5,0-2,13:07,1,1,-5,2,0,0-0,2,0
Brandon Rush,Utah,0,0,1,0,0-2,0-0,8:01,0,1,-4,0,0,0-0,0,0
Diante Garrett,Utah,0,0,0,1,0-1,0-0,5:13,0,0,-8,0,1,0-0,1,0
Josh McRoberts,Charlotte,3,2,0,3,1-5,0-0,28:53,2,2,-8,2,0,0-1,5,2
Anthony Tolliver,Charlotte,1,0,0,5,1-5,0-0,25:53,0,2,-4,2,0,0-3,5,1
Al Jefferson,Charlotte,1,3,1,5,9-19,1-3,30:58,6,1,-3,19,0,0-1,11,0
Kemba Walker,Charlotte,4,1,1,2,9-16,1-2,33:40,3,1,-3,20,1,1-2,5,5
Gerald Henderson,Charlotte,2,0,0,4,4-14,4-4,29:51,1,2,-5,12,0,0-1,5,1
Ramon Sessions,Charlotte,3,0,0,3,4-10,4-5,24:18,0,0,+5,13,0,1-2,3,0
Cody Zeller,Charlotte,2,0,0,3,4-5,0-0,19:07,0,1,+5,8,0,0-0,3,1
Chris Douglas-Roberts,Charlotte,0,0,0,2,0-1,0-0,17:57,0,3,+2,0,0,0-1,2,0
Bismack Biyombo,Charlotte,0,2,1,8,2-3,1-2,17:02,2,1,+0,5,0,0-0,10,0
Ben Gordon,Charlotte,0,1,0,1,2-5,0-0,12:21,0,4,-4,4,0,0-1,1,1
