Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jamaal Tinsley,Utah,5,0,0,1,2-7,1-2,16:44,0,1,+0,5,1,0-3,1,1
Mo Williams,Utah,3,0,0,3,1-7,0-0,26:45,1,0,+0,2,0,0-1,4,4
Al Jefferson,Utah,3,3,0,3,10-16,3-5,30:21,3,1,+0,23,0,0-0,6,3
Marvin Williams,Utah,1,0,0,6,6-10,0-0,27:01,4,3,+0,14,1,2-2,10,1
Randy Foye,Utah,2,0,0,1,0-4,0-0,21:14,0,2,+0,0,0,0-2,1,0
Paul Millsap,Utah,0,2,0,4,4-9,2-4,20:39,2,3,+0,10,0,0-0,6,0
DeMarre Carroll,Utah,2,0,0,0,2-5,0-0,9:35,1,3,+0,4,1,0-1,1,1
Derrick Favors,Utah,0,6,0,7,3-6,5-6,27:27,3,4,+0,11,1,0-0,10,2
Gordon Hayward,Utah,1,0,0,1,2-6,1-1,28:55,0,1,+0,5,1,0-1,1,1
Alec Burks,Utah,1,0,0,2,2-3,0-0,13:46,1,2,+0,4,1,0-0,3,1
Enes Kanter,Utah,0,0,0,1,5-8,0-0,17:33,2,2,+0,10,0,0-0,3,0
Nazr Mohammed,Chicago,0,0,0,2,2-8,5-6,19:41,5,0,+0,9,1,0-0,7,0
Carlos Boozer,Chicago,1,0,0,7,10-22,2-3,42:40,3,3,+0,22,1,0-0,10,0
Luol Deng,Chicago,1,1,0,4,4-12,4-4,40:48,2,2,+0,12,2,0-3,6,0
Nate Robinson,Chicago,7,0,0,4,4-13,5-6,36:05,2,1,+0,14,1,1-8,6,4
Joakim Noah,Chicago,3,0,0,5,3-8,3-4,32:11,8,5,+0,9,1,0-0,13,3
Marco Belinelli,Chicago,3,0,0,4,7-14,5-5,42:43,0,3,+0,22,1,3-4,4,3
Jimmy Butler,Chicago,2,0,0,3,0-2,1-2,21:47,0,1,+0,1,1,0-1,3,0
Marquis Teague,Chicago,2,0,0,0,0-2,0-0,4:05,1,1,+0,0,0,0-1,1,1
