Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Derrick Favors,Utah,0,0,1,5,5-8,3-6,33:30,3,3,-11,13,3,0-0,8,3
Richard Jefferson,Utah,3,0,1,3,3-8,0-0,28:21,0,0,-17,7,0,1-4,3,2
Enes Kanter,Utah,1,0,0,4,1-6,0-0,20:45,1,3,-17,2,0,0-0,5,2
Gordon Hayward,Utah,5,2,2,0,5-12,2-2,34:35,1,4,-11,13,3,1-3,1,5
John Lucas III,Utah,2,0,0,0,1-3,0-0,12:22,0,1,-19,2,0,0-1,0,0
Marvin Williams,Utah,3,1,0,4,7-13,2-3,31:44,1,4,+8,19,2,3-6,5,0
Alec Burks,Utah,2,1,0,1,5-10,0-0,27:05,0,4,+3,11,1,1-1,1,2
Trey Burke,Utah,3,0,0,4,2-8,1-1,19:36,1,1,-1,5,0,0-4,5,2
Diante Garrett,Utah,8,0,0,0,3-3,0-0,16:02,0,0,+10,7,1,1-1,0,0
Jeremy Evans,Utah,0,2,0,1,7-7,0-0,16:00,2,2,+5,14,0,0-0,3,1
Shawn Marion,Dallas,4,1,0,3,4-7,1-2,32:19,0,0,+12,10,2,1-3,3,0
Dirk Nowitzki,Dallas,1,0,0,6,5-14,7-7,31:40,1,1,+12,18,1,1-2,7,1
Samuel Dalembert,Dallas,1,2,0,7,8-8,2-4,28:31,5,4,+13,18,0,0-0,12,3
Monta Ellis,Dallas,6,0,2,2,8-19,9-10,38:21,1,2,+11,26,1,1-2,3,3
Jose Calderon,Dallas,4,0,0,1,2-3,0-0,29:51,0,2,+10,5,2,1-2,1,2
Vince Carter,Dallas,0,1,1,3,3-9,0-1,21:56,1,3,-11,8,0,2-5,4,2
DeJuan Blair,Dallas,1,0,3,4,5-9,1-2,19:29,5,3,-3,11,1,0-0,9,3
Jae Crowder,Dallas,1,0,0,1,1-2,0-0,16:59,0,1,+0,3,1,1-2,1,1
Shane Larkin,Dallas,1,0,0,1,1-2,0-1,15:11,0,1,+1,2,2,0-0,1,1
Wayne Ellington,Dallas,0,0,0,0,1-2,0-0,5:43,0,0,+5,2,0,0-1,0,0
