Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jamaal Tinsley,Utah,0,0,0,0,0-1,0-0,6:03,0,0,+0,0,0,0-1,0,0
Earl Watson,Utah,6,0,0,2,0-3,2-2,25:38,1,3,+0,2,1,0-0,3,2
Al Jefferson,Utah,3,0,0,8,10-18,0-0,36:13,2,1,+0,20,4,0-0,10,0
Randy Foye,Utah,0,1,0,1,6-9,2-2,34:46,0,4,+0,17,2,3-5,1,5
Paul Millsap,Utah,1,0,0,5,6-13,5-6,32:46,2,1,+0,17,0,0-0,7,2
DeMarre Carroll,Utah,2,0,0,1,2-5,1-1,23:43,1,4,+0,5,2,0-1,2,0
Derrick Favors,Utah,2,0,0,3,3-5,1-4,19:07,0,3,+0,7,1,0-0,3,1
Gordon Hayward,Utah,5,1,0,0,2-8,2-3,28:48,2,2,+0,6,1,0-1,2,1
Alec Burks,Utah,2,0,0,3,5-7,0-0,25:06,0,4,+0,12,1,2-2,3,3
Enes Kanter,Utah,0,1,0,0,2-2,0-0,7:50,1,0,+0,4,0,0-0,1,2
Tayshaun Prince,Detroit,3,0,0,3,3-8,2-2,33:11,0,1,+0,8,0,0-0,3,1
Charlie Villanueva,Detroit,1,0,0,0,1-5,1-3,16:29,0,2,+0,4,1,1-3,0,1
Jason Maxiell,Detroit,3,3,0,5,2-5,3-4,26:17,1,3,+0,7,0,0-0,6,1
Will Bynum,Detroit,4,0,0,0,6-6,1-2,18:42,0,3,+0,13,3,0-0,0,0
Rodney Stuckey,Detroit,2,0,0,2,2-6,3-4,22:24,0,1,+0,9,1,2-4,2,1
Austin Daye,Detroit,1,2,0,0,1-3,2-2,14:53,1,3,+0,5,0,1-2,1,1
Greg Monroe,Detroit,3,0,0,9,6-9,0-0,32:17,2,2,+0,12,2,0-0,11,7
Brandon Knight,Detroit,1,0,0,3,7-16,0-0,35:11,0,1,+0,16,1,2-7,3,2
Kyle Singler,Detroit,2,0,0,1,2-2,0-0,19:43,0,2,+0,4,0,0-0,1,1
Andre Drummond,Detroit,1,1,0,2,4-5,1-4,20:53,3,4,+0,9,1,0-0,5,2
