Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jamaal Tinsley,Utah,2,0,0,0,2-5,0-0,15:01,1,0,+0,6,2,2-3,1,0
Mo Williams,Utah,5,0,0,3,11-19,0-0,32:59,1,3,+0,25,2,3-6,4,3
Al Jefferson,Utah,5,1,0,10,8-17,3-3,31:46,2,3,+0,19,2,0-0,12,1
Marvin Williams,Utah,2,0,0,0,1-1,0-0,7:09,0,1,+0,3,0,1-1,0,0
Randy Foye,Utah,1,1,0,0,3-11,0-0,35:55,0,2,+0,8,1,2-8,0,1
Paul Millsap,Utah,4,1,0,6,5-13,1-2,34:44,0,1,+0,11,1,0-0,6,3
DeMarre Carroll,Utah,3,0,0,2,0-2,0-0,16:47,1,1,+0,0,1,0-1,3,0
Derrick Favors,Utah,1,3,0,7,5-9,2-2,29:30,6,1,+0,12,0,0-0,13,1
Gordon Hayward,Utah,6,0,0,1,5-11,0-0,36:09,2,2,+0,13,1,3-6,3,4
Andrew Bogut,Golden State,2,1,0,5,1-3,0-0,23:29,1,2,+0,2,0,0-0,6,3
Jarrett Jack,Golden State,6,0,0,2,3-9,0-0,33:30,0,2,+0,7,1,1-3,2,2
David Lee,Golden State,1,0,0,11,8-17,5-7,44:54,2,1,+0,21,1,0-0,13,2
Carl Landry,Golden State,2,0,0,6,4-5,2-3,18:46,1,2,+0,10,1,0-0,7,0
Stephen Curry,Golden State,5,0,0,3,8-19,2-2,45:09,1,3,+0,22,1,4-9,4,5
Klay Thompson,Golden State,2,1,0,2,8-15,2-4,42:14,0,3,+0,20,1,2-3,2,3
Harrison Barnes,Golden State,3,0,0,3,1-3,2-2,22:59,0,0,+0,4,0,0-2,3,1
Festus Ezeli,Golden State,0,0,0,0,1-1,0-0,5:35,1,0,+0,2,0,0-0,1,0
Draymond Green,Golden State,0,0,0,1,1-2,0-0,3:20,2,2,+0,2,0,0-0,3,0
Kent Bazemore,Golden State,0,0,0,0,0-0,0-0,0:04,0,0,+0,0,0,0-0,0,0
