Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Derrick Favors,Utah,3,1,2,10,3-8,4-6,27:51,3,3,+12,10,0,0-0,13,2
Richard Jefferson,Utah,2,0,0,5,4-5,1-2,22:24,0,2,-2,10,1,1-1,5,1
Enes Kanter,Utah,0,1,1,2,5-8,0-2,19:46,2,2,-12,10,0,0-0,4,3
Gordon Hayward,Utah,4,0,0,2,5-15,4-5,31:22,2,1,+6,15,4,1-4,4,4
John Lucas III,Utah,2,0,0,1,3-9,1-3,26:58,0,1,+8,8,1,1-2,1,0
Alec Burks,Utah,6,0,1,3,5-11,3-5,29:20,2,3,-15,14,1,1-2,5,1
Brian Cook,Utah,2,1,0,3,6-14,3-3,20:15,2,5,-4,18,0,3-9,5,1
Scott Machado,Utah,4,0,2,0,0-6,0-0,15:19,0,4,-8,0,2,0-4,0,2
Rudy Gobert,Utah,0,1,1,3,0-1,0-0,13:06,1,1,-11,0,0,0-0,4,0
Ian Clark,Utah,0,0,0,0,3-7,0-0,12:00,1,3,-8,6,0,0-2,1,1
Mike Harris,Utah,1,0,0,1,0-3,0-0,11:53,3,5,-12,0,0,0-1,4,5
Justin Holiday,Utah,0,0,0,0,1-1,0-0,5:08,0,0,-12,3,0,1-1,0,1
Lester Hudson,Utah,0,0,0,0,0-0,0-0,4:38,0,0,-12,0,1,0-0,0,0
Nick Young,LA Lakers,4,0,0,0,4-12,1-2,23:58,1,2,-9,9,1,0-3,1,1
Shawne Williams,LA Lakers,0,1,2,5,3-10,1-2,17:30,0,1,-3,9,0,2-5,5,1
Pau Gasol,LA Lakers,1,2,0,5,4-9,0-0,23:43,1,0,-10,9,0,1-2,6,1
Steve Blake,LA Lakers,3,0,0,6,0-2,2-2,28:16,0,3,+1,2,2,0-2,6,1
Steve Nash,LA Lakers,1,0,0,0,2-3,0-0,14:39,0,3,-4,5,0,1-1,0,1
Jodie Meeks,LA Lakers,3,0,1,3,5-9,3-3,24:24,0,2,+18,15,2,2-4,3,1
Xavier Henry,LA Lakers,1,0,1,0,3-6,2-2,23:13,1,0,+13,8,1,0-1,1,2
Jordan Farmar,LA Lakers,3,1,0,1,5-7,8-9,22:43,0,0,+22,20,0,2-3,1,4
Wesley Johnson,LA Lakers,2,0,0,5,5-8,2-2,22:07,1,3,+10,14,1,2-3,6,0
Jordan Hill,LA Lakers,0,0,0,4,4-6,2-2,17:17,1,4,+17,10,1,0-0,5,2
Ryan Kelly,LA Lakers,1,1,0,3,0-1,5-5,8:56,0,0,+8,5,0,0-0,3,1
Robert Sacre,LA Lakers,0,2,0,0,1-2,0-0,7:00,1,2,+7,2,0,0-0,1,1
Elias Harris,LA Lakers,0,0,0,0,0-1,0-0,6:14,0,0,+0,0,0,0-1,0,1
