Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Richard Jefferson,Utah,1,0,2,6,6-12,3-4,36:12,0,0,-1,18,0,3-4,6,2
Marvin Williams,Utah,1,1,1,2,3-7,0-0,28:25,1,2,+1,8,0,2-5,3,2
Derrick Favors,Utah,3,0,0,5,8-11,0-0,34:31,1,4,+2,16,2,0-0,6,2
Gordon Hayward,Utah,9,4,2,7,5-13,4-5,38:28,4,2,+2,16,1,2-5,11,1
Trey Burke,Utah,5,0,0,1,5-12,6-6,35:40,0,1,+4,18,0,2-6,1,3
Enes Kanter,Utah,1,0,1,3,0-5,0-0,18:02,1,4,-20,0,0,0-0,4,1
Alec Burks,Utah,2,0,1,2,2-5,0-0,15:39,0,2,-17,4,0,0-1,2,2
Jeremy Evans,Utah,1,2,0,2,4-6,0-0,15:02,1,1,-3,8,1,0-0,3,0
John Lucas III,Utah,1,0,0,0,2-4,0-0,12:20,0,0,-14,6,0,2-3,0,0
Brandon Rush,Utah,0,0,0,2,0-0,0-0,5:41,0,0,-4,0,0,0-0,2,0
Zach Randolph,Memphis,7,0,1,9,8-14,6-6,36:14,1,0,+8,22,1,0-0,10,2
James Johnson,Memphis,2,4,0,2,4-10,0-0,33:13,3,1,+9,9,1,1-5,5,1
Kosta Koufos,Memphis,1,1,0,3,5-7,0-2,19:41,4,2,-9,10,0,0-0,7,0
Mike Conley,Memphis,5,0,1,3,2-11,0-0,36:48,0,3,-2,6,4,2-5,3,2
Tony Allen,Memphis,4,0,3,4,2-9,2-2,31:56,0,2,+4,6,1,0-0,4,1
Jerryd Bayless,Memphis,3,1,0,1,6-11,1-2,23:39,0,4,+12,17,0,4-5,1,0
Ed Davis,Memphis,1,1,1,1,3-7,2-2,20:15,2,1,+9,8,1,0-0,3,0
Jon Leuer,Memphis,1,0,1,4,4-7,2-4,19:50,1,1,+12,11,1,1-2,5,0
Mike Miller,Memphis,0,0,0,2,5-7,2-2,17:58,0,1,+8,15,0,3-3,2,0
Jamaal Franklin,Memphis,0,0,0,0,0-0,0-0,0:26,0,0,-1,0,0,0-0,0,0
