Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jamaal Tinsley,Utah,3,0,0,0,2-3,2-2,14:08,0,0,+0,8,1,2-3,0,2
Earl Watson,Utah,4,0,0,2,1-3,0-0,17:03,0,1,+0,2,2,0-0,2,2
Mo Williams,Utah,4,0,0,2,2-3,0-0,16:17,0,0,+0,5,1,1-1,2,3
Al Jefferson,Utah,2,2,0,10,2-8,2-2,31:46,1,2,+0,6,0,0-0,11,1
Marvin Williams,Utah,1,0,0,1,7-12,0-0,27:19,3,1,+0,16,0,2-5,4,1
Randy Foye,Utah,1,0,0,2,1-9,0-0,22:45,0,3,+0,2,1,0-4,2,0
Paul Millsap,Utah,1,0,0,3,3-9,5-6,29:04,2,3,+0,11,1,0-0,5,3
DeMarre Carroll,Utah,2,0,0,2,1-4,1-2,15:08,1,2,+0,3,1,0-1,3,1
Derrick Favors,Utah,0,0,0,2,2-8,6-6,23:32,2,2,+0,10,2,0-0,4,1
Gordon Hayward,Utah,0,0,0,1,5-8,3-3,26:33,0,2,+0,15,0,2-2,1,3
Jeremy Evans,Utah,0,0,0,1,0-1,2-2,2:56,0,0,+0,2,0,0-0,1,0
Alec Burks,Utah,0,0,0,0,2-3,1-3,2:56,0,0,+0,5,0,0-0,0,0
Enes Kanter,Utah,0,0,0,1,2-2,0-0,10:33,2,2,+0,4,1,0-0,3,2
Ray Allen,Miami,1,0,0,3,4-5,3-3,24:32,0,1,+0,13,2,2-2,3,0
Mike Miller,Miami,1,0,0,0,2-3,0-0,11:59,0,2,+0,6,2,2-3,0,0
Shane Battier,Miami,1,3,0,3,4-8,3-3,33:58,0,1,+0,15,1,4-8,3,0
LeBron James,Miami,7,0,0,8,11-20,7-10,37:30,1,0,+0,30,0,1-1,9,4
Dwyane Wade,Miami,7,0,0,6,8-14,5-6,34:17,1,2,+0,21,2,0-2,7,4
James Jones,Miami,1,0,0,0,0-1,0-0,1:51,0,0,+0,0,0,0-1,0,0
Udonis Haslem,Miami,2,1,0,9,3-6,0-0,30:26,0,4,+0,6,1,0-0,9,0
Joel Anthony,Miami,0,1,0,1,2-4,0-0,15:43,2,2,+0,4,1,0-0,3,3
Mario Chalmers,Miami,1,0,0,1,2-5,0-0,26:21,1,1,+0,5,1,1-4,2,2
Dexter Pittman,Miami,0,0,0,1,0-0,0-0,1:51,1,2,+0,0,0,0-0,2,2
Norris Cole,Miami,2,0,0,1,2-6,0-0,19:41,0,3,+0,5,2,1-3,1,1
Terrel Harris,Miami,0,0,0,0,0-1,0-0,1:51,0,1,+0,0,0,0-0,0,0
