Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Derrick Favors,Utah,1,2,2,3,6-14,5-8,31:21,4,5,-26,17,2,0-0,7,2
Richard Jefferson,Utah,0,0,1,2,3-8,0-0,25:24,0,0,-21,6,0,0-3,2,1
Enes Kanter,Utah,2,1,0,3,5-12,4-4,37:32,1,3,-31,14,1,0-0,4,1
Gordon Hayward,Utah,4,0,0,6,10-18,4-4,36:21,1,2,-19,24,4,0-5,7,2
Jamaal Tinsley,Utah,4,0,0,3,0-0,0-0,16:09,0,3,-14,0,0,0-0,3,0
Alec Burks,Utah,4,0,1,2,4-10,7-8,27:31,1,3,-4,17,0,2-5,3,4
John Lucas III,Utah,1,0,0,0,1-3,0-0,16:24,0,1,-8,3,0,1-2,0,0
Rudy Gobert,Utah,0,2,0,4,1-3,0-0,15:55,3,4,+3,2,0,0-0,7,2
Marvin Williams,Utah,1,0,0,1,0-3,0-0,15:18,1,0,-11,0,0,0-1,2,1
Mike Harris,Utah,2,0,0,1,3-4,0-0,11:26,1,1,+3,6,0,0-1,2,1
Ian Clark,Utah,1,0,0,0,1-2,0-0,6:39,0,2,+8,2,0,0-1,0,0
Amir Johnson,Toronto,1,3,1,6,3-9,0-0,26:36,5,4,+26,7,0,1-2,11,1
Rudy Gay,Toronto,5,0,1,1,5-11,0-0,23:19,1,1,+13,11,2,1-3,2,0
Jonas Valanciunas,Toronto,0,1,1,2,6-8,2-2,23:28,1,3,+21,14,0,0-0,3,2
DeMar DeRozan,Toronto,3,0,1,4,5-14,7-7,24:00,1,1,+19,18,1,1-3,5,1
Kyle Lowry,Toronto,4,0,1,1,3-5,0-0,15:13,1,0,+13,9,2,3-4,2,1
Tyler Hansbrough,Toronto,0,0,0,4,6-9,11-13,27:56,3,4,+10,23,2,0-0,7,2
Dwight Buycks,Toronto,2,0,0,2,1-3,0-0,20:47,0,2,+18,2,1,0-1,2,1
Landry Fields,Toronto,3,0,0,1,1-4,2-2,18:02,0,1,+19,4,0,0-0,1,1
Quincy Acy,Toronto,1,0,0,1,3-5,1-2,17:49,1,2,-9,9,0,2-4,2,0
Terrence Ross,Toronto,3,0,0,2,4-9,0-0,17:21,0,2,+13,9,0,1-4,2,2
Julyan Stone,Toronto,1,0,0,2,2-2,2-3,12:00,0,0,-7,7,0,1-1,2,0
Steve Novak,Toronto,0,0,0,0,0-2,0-0,6:50,0,0,-8,0,0,0-2,0,0
D.J. Augustin,Toronto,0,0,0,1,1-2,0-0,6:39,0,0,-8,2,0,0-1,1,1
