Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Trevor Booker,Washington,2,1,0,12,12-19,0-1,44:09,2,3,+2,24,1,0-0,14,1
Trevor Ariza,Washington,1,0,0,4,4-7,1-2,32:55,2,1,+1,10,1,1-2,6,1
Marcin Gortat,Washington,6,0,0,7,6-10,0-0,37:12,3,4,+2,12,0,0-0,10,4
Martell Webster,Washington,0,0,1,6,4-12,7-7,38:35,2,1,-5,15,1,0-3,8,2
John Wall,Washington,11,0,0,4,6-22,0-0,37:16,0,4,-1,13,0,1-4,4,4
Glen Rice Jr.,Washington,1,0,0,4,2-8,2-3,19:12,1,2,-3,8,0,2-4,5,2
Jan Vesely,Washington,1,1,0,1,4-9,0-2,17:56,4,1,-1,8,1,0-0,5,0
Garrett Temple,Washington,4,0,0,1,1-4,1-3,16:02,0,1,-5,3,0,0-0,1,1
Otto Porter Jr.,Washington,0,0,0,2,2-6,0-0,15:44,2,0,+3,4,0,0-1,4,0
Kevin Seraphin,Washington,0,1,0,1,1-3,0-0,6:00,2,3,-3,2,0,0-0,3,2
Paul Millsap,Atlanta,4,1,0,7,6-17,4-7,40:14,4,5,+6,16,1,0-2,11,1
DeMarre Carroll,Atlanta,0,0,0,6,1-3,0-0,27:48,0,4,-11,3,1,1-2,6,3
Al Horford,Atlanta,2,0,0,9,15-23,4-5,41:00,6,0,-3,34,2,0-0,15,2
Jeff Teague,Atlanta,7,0,1,2,4-11,3-4,40:11,0,1,+7,12,1,1-2,2,3
Kyle Korver,Atlanta,3,0,0,3,6-13,0-0,38:55,1,2,+6,16,2,4-8,4,2
Shelvin Mack,Atlanta,5,0,1,3,1-9,2-2,29:46,0,0,-3,4,0,0-3,3,1
Lou Williams,Atlanta,2,0,1,0,2-7,0-0,22:36,0,2,+3,5,3,1-3,0,3
Pero Antic,Atlanta,4,0,0,1,1-2,2-2,12:48,0,0,-2,4,0,0-1,1,0
Elton Brand,Atlanta,0,0,0,4,2-4,3-4,11:23,0,0,+9,7,0,0-0,4,0
Cartier Martin,Atlanta,0,0,0,0,0-0,0-0,0:19,0,0,-2,0,0,0-0,0,0
