Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Trevor Ariza,Washington,2,0,1,6,9-18,4-4,35:19,2,3,+10,27,1,5-8,8,2
Trevor Booker,Washington,1,0,0,2,0-2,0-0,13:59,1,2,-6,0,0,0-0,3,0
Marcin Gortat,Washington,2,4,1,8,6-9,1-2,34:40,3,1,+19,13,0,0-0,11,2
John Wall,Washington,9,1,0,3,8-18,3-4,36:29,0,4,+16,20,6,1-5,3,1
Bradley Beal,Washington,3,0,0,3,3-12,2-2,28:00,0,0,+11,9,1,1-4,3,1
Kevin Seraphin,Washington,1,1,0,3,6-9,1-2,24:30,3,3,+6,13,0,0-0,6,3
Nene Hilario,Washington,5,1,0,7,4-6,5-6,22:32,1,3,-3,13,2,0-0,8,0
Martell Webster,Washington,0,0,0,1,2-4,0-2,21:11,0,2,-8,5,0,1-2,1,1
Otto Porter Jr.,Washington,0,0,0,1,2-4,0-0,11:49,0,0,-1,4,0,0-1,1,0
Garrett Temple,Washington,1,0,0,1,1-5,0-0,11:31,2,1,-9,2,0,0-1,3,1
Brandon Bass,Boston,4,1,0,10,4-9,3-4,35:16,1,2,-10,11,1,0-0,11,1
Jeff Green,Boston,1,1,0,2,4-13,5-7,34:01,0,2,-10,13,1,0-6,2,2
Jared Sullinger,Boston,1,0,3,6,9-18,3-4,30:32,5,3,-7,22,1,1-4,11,1
Avery Bradley,Boston,0,0,1,3,12-18,0-2,37:48,2,1,-7,26,1,2-3,5,2
Jordan Crawford,Boston,8,0,1,2,5-11,0-0,33:15,1,1,-4,11,0,1-5,3,5
Gerald Wallace,Boston,2,0,1,2,3-5,0-0,17:36,0,1,-1,6,0,0-1,2,0
Kris Humphries,Boston,3,0,0,4,4-6,0-1,16:14,1,2,+0,8,0,0-0,5,1
Phil Pressey,Boston,5,0,0,0,0-0,0-0,13:46,0,0,-1,0,1,0-0,0,0
Courtney Lee,Boston,0,0,0,0,0-3,0-0,7:40,0,0,+0,0,0,0-1,0,0
Vitor Faverani,Boston,0,0,0,0,1-1,0-0,7:25,0,1,+4,2,0,0-0,0,0
Kelly Olynyk,Boston,1,0,1,0,0-3,0-0,6:27,1,1,+1,0,0,0-0,1,0
