Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Trevor Ariza,Washington,2,0,0,3,2-6,0-0,23:47,0,2,+15,4,1,0-3,3,1
Trevor Booker,Washington,1,1,0,7,5-8,2-2,22:19,1,0,+19,12,1,0-0,8,0
Marcin Gortat,Washington,1,3,0,10,7-13,4-5,37:51,3,3,+17,18,1,0-0,13,0
John Wall,Washington,8,0,0,1,5-16,5-5,31:47,1,2,+13,17,0,2-7,2,0
Bradley Beal,Washington,3,0,0,2,10-18,0-0,30:59,0,4,+24,21,0,1-3,2,0
Martell Webster,Washington,1,1,0,3,4-7,0-0,30:32,0,2,-4,10,0,2-3,3,2
Jan Vesely,Washington,0,3,0,4,3-4,0-1,20:49,2,2,-5,6,3,0-0,6,0
Garrett Temple,Washington,2,0,0,2,0-1,0-0,16:13,0,1,+1,0,1,0-0,2,2
Nene Hilario,Washington,1,0,1,5,3-9,1-2,15:01,1,3,-3,7,0,0-0,6,2
Otto Porter Jr.,Washington,1,0,0,1,1-3,0-0,10:42,0,1,-7,2,0,0-1,1,0
Chris Douglas-Roberts,Charlotte,1,0,1,6,2-4,0-0,29:35,0,0,-13,6,1,2-3,6,1
Josh McRoberts,Charlotte,1,0,0,3,1-4,0-0,26:14,0,1,-8,2,0,0-1,3,0
Al Jefferson,Charlotte,4,0,0,9,3-9,0-0,34:32,1,2,-16,6,0,0-0,10,1
Kemba Walker,Charlotte,8,0,2,3,7-17,3-6,38:34,0,2,-15,19,0,2-7,3,5
Gerald Henderson,Charlotte,1,0,0,6,10-19,6-8,35:16,1,1,-19,27,0,1-2,7,2
Ramon Sessions,Charlotte,3,0,3,0,4-8,2-2,30:10,0,2,+5,10,1,0-0,0,4
Anthony Tolliver,Charlotte,1,0,1,4,2-5,3-4,21:00,1,1,+6,8,1,1-3,5,0
Bismack Biyombo,Charlotte,0,1,0,3,0-1,0-2,13:28,0,2,+2,0,0,0-0,3,0
Cody Zeller,Charlotte,0,0,1,1,2-5,1-2,11:11,0,2,-12,5,0,0-0,1,0
