Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nene Hilario,Washington,1,1,0,3,3-8,1-5,28:33,1,2,+0,7,3,0-0,4,3
Emeka Okafor,Washington,0,2,0,6,5-7,0-0,21:10,1,2,+0,10,3,0-0,7,3
Trevor Ariza,Washington,0,1,0,5,5-10,1-1,27:13,0,0,+0,14,0,3-7,5,0
Martell Webster,Washington,4,0,0,4,3-7,3-3,19:59,1,4,+0,10,0,1-4,5,0
A.J. Price,Washington,3,0,0,1,2-4,0-0,21:56,0,1,+0,6,1,2-2,1,1
John Wall,Washington,12,2,0,3,4-9,6-6,25:58,1,4,+0,14,0,0-1,4,6
Kevin Seraphin,Washington,0,1,0,7,7-11,4-4,26:04,0,1,+0,18,2,0-0,7,1
Trevor Booker,Washington,0,1,0,3,1-3,0-2,17:07,5,3,+0,2,0,0-0,8,1
Jordan Crawford,Washington,2,0,0,0,3-6,1-2,17:10,1,0,+0,8,0,1-2,1,2
Jan Vesely,Washington,0,0,0,0,0-2,0-0,2:44,0,1,+0,0,0,0-0,0,0
Bradley Beal,Washington,4,1,0,1,8-13,3-5,32:06,2,2,+0,23,0,4-7,3,3
Andre Miller,Denver,1,0,0,3,8-10,1-3,25:38,2,1,+0,17,0,0-1,5,1
Andre Iguodala,Denver,4,1,0,2,0-4,2-6,30:18,2,5,+0,2,5,0-1,4,1
Corey Brewer,Denver,3,0,0,2,7-14,1-4,28:00,0,0,+0,17,3,2-6,2,0
Wilson Chandler,Denver,1,1,0,5,1-5,2-2,20:04,0,2,+0,4,1,0-1,5,2
Danilo Gallinari,Denver,0,1,0,1,5-16,5-5,34:15,0,3,+0,16,2,1-2,1,2
JaVale McGee,Denver,0,1,0,1,2-7,2-4,14:14,2,4,+0,6,0,0-0,3,1
Kosta Koufos,Denver,1,0,0,5,3-5,1-1,25:09,2,4,+0,7,0,0-0,7,0
Ty Lawson,Denver,6,0,0,1,11-16,3-4,35:37,0,2,+0,29,2,4-5,1,5
Kenneth Faried,Denver,1,0,0,5,4-7,2-2,26:45,1,2,+0,10,0,0-0,6,2
