Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Trevor Ariza,Washington,2,0,1,9,3-9,2-4,38:18,2,0,+7,9,3,1-3,11,2
Nene Hilario,Washington,2,1,0,5,7-15,2-2,34:44,2,3,+7,16,2,0-0,7,3
Marcin Gortat,Washington,2,1,2,10,2-8,4-6,37:02,2,3,+8,8,1,0-0,12,1
John Wall,Washington,5,1,0,8,6-19,0-0,35:58,0,3,+8,15,3,3-6,8,5
Bradley Beal,Washington,4,0,2,6,8-19,0-0,30:34,1,1,+3,20,1,4-7,7,6
Martell Webster,Washington,2,1,1,1,3-9,2-3,28:20,0,3,-2,10,0,2-5,1,1
Trevor Booker,Washington,0,0,0,2,4-7,0-0,22:56,4,2,-11,8,0,0-0,6,0
Eric Maynor,Washington,1,0,0,0,0-2,0-0,6:37,0,1,-5,0,0,0-1,0,0
Garrett Temple,Washington,2,0,0,3,1-2,0-0,5:31,1,1,+0,2,0,0-0,4,0
Andre Iguodala,Golden State,3,0,1,6,2-7,1-2,33:13,2,0,-8,5,3,0-2,8,2
David Lee,Golden State,1,0,2,4,2-10,7-10,31:54,1,2,-12,11,0,0-0,5,3
Andrew Bogut,Golden State,2,3,0,12,2-3,0-0,28:48,2,3,-11,4,0,0-0,14,2
Klay Thompson,Golden State,4,1,0,6,5-17,0-0,40:23,0,3,+2,13,2,3-9,6,3
Stephen Curry,Golden State,4,0,1,2,8-23,5-6,37:43,0,5,-9,23,4,2-7,2,6
Harrison Barnes,Golden State,3,0,0,0,2-4,0-0,22:32,0,1,+8,5,2,1-2,0,0
Draymond Green,Golden State,1,0,0,3,4-8,0-0,16:46,0,1,+9,8,1,0-1,3,1
Jordan Crawford,Golden State,1,0,0,0,3-5,3-3,14:47,0,1,+5,9,0,0-1,0,1
Marreese Speights,Golden State,0,2,0,9,2-3,2-2,13:46,0,0,+3,7,0,1-1,9,1
Kent Bazemore,Golden State,0,0,0,0,0-0,0-0,0:09,0,0,-2,0,0,0-0,0,0
