Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nene Hilario,Washington,1,1,0,5,6-13,3-3,24:57,1,1,+0,15,2,0-0,6,5
Emeka Okafor,Washington,0,1,0,7,2-6,0-0,21:44,2,1,+0,4,1,0-0,9,2
Martell Webster,Washington,2,0,0,0,0-3,0-0,14:00,0,1,+0,0,1,0-0,0,1
Cartier Martin,Washington,0,0,0,2,2-6,0-0,18:28,0,2,+0,4,0,0-2,2,1
Garrett Temple,Washington,7,2,0,1,0-3,0-0,22:19,0,6,+0,0,0,0-2,1,2
Kevin Seraphin,Washington,0,1,0,7,8-13,0-0,30:43,2,4,+0,16,0,0-0,9,3
Jordan Crawford,Washington,7,0,0,4,7-15,5-7,35:24,0,1,+0,20,2,1-4,4,4
Jan Vesely,Washington,0,0,0,0,0-0,0-0,4:04,2,2,+0,0,0,0-0,2,0
Chris Singleton,Washington,0,0,0,4,2-3,0-0,14:32,1,3,+0,4,1,0-0,5,0
Shelvin Mack,Washington,4,0,0,1,2-6,0-0,25:41,0,2,+0,4,2,0-1,1,1
Bradley Beal,Washington,3,1,0,2,6-15,0-0,28:08,0,2,+0,14,0,2-4,2,0
David West,Indiana,1,1,0,5,3-13,2-2,34:21,1,0,+0,8,1,0-0,6,3
Gerald Green,Indiana,0,0,0,0,1-4,0-0,17:58,0,0,+0,3,1,1-2,0,2
Ian Mahinmi,Indiana,0,0,0,8,3-5,3-4,22:36,3,1,+0,9,1,0-0,11,0
D.J. Augustin,Indiana,6,0,0,2,4-9,9-10,37:18,2,1,+0,18,1,1-4,4,2
Roy Hibbert,Indiana,4,1,0,3,6-11,1-1,24:13,1,5,+0,13,0,0-0,4,2
Tyler Hansbrough,Indiana,1,0,0,1,0-3,2-4,14:50,2,2,+0,2,0,0-0,3,2
Sam Young,Indiana,0,0,0,2,0-1,0-0,8:15,0,0,+0,0,0,0-0,2,0
Paul George,Indiana,3,0,0,13,9-19,8-8,40:18,1,3,+0,29,2,3-8,14,3
Lance Stephenson,Indiana,2,1,0,2,3-9,0-0,29:28,1,1,+0,6,2,0-0,3,0
Ben Hansbrough,Indiana,0,0,0,1,0-3,1-2,10:43,0,1,+0,1,1,0-2,1,2
