Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nene Hilario,Washington,2,0,0,7,6-14,0-1,27:52,0,5,+0,12,0,0-0,7,3
Emeka Okafor,Washington,3,3,0,6,3-4,0-3,26:19,6,0,+0,6,0,0-0,12,4
Trevor Ariza,Washington,0,1,0,3,3-7,3-4,28:33,1,1,+0,11,2,2-4,4,1
Martell Webster,Washington,3,0,0,2,1-7,0-0,19:50,2,1,+0,3,1,1-4,4,1
A.J. Price,Washington,4,0,0,1,2-4,1-3,17:20,0,3,+0,7,0,2-3,1,0
John Wall,Washington,6,2,0,3,7-16,10-14,30:41,0,4,+0,24,2,0-2,3,3
Kevin Seraphin,Washington,0,0,0,3,2-7,0-0,20:07,0,2,+0,4,0,0-0,3,1
Trevor Booker,Washington,1,0,0,5,2-2,0-1,21:18,2,4,+0,4,1,0-0,7,1
Jordan Crawford,Washington,2,0,0,1,1-5,1-1,16:00,0,1,+0,3,1,0-2,1,3
Bradley Beal,Washington,0,0,0,1,5-11,0-0,32:00,0,3,+0,13,1,3-5,1,1
Grant Hill,LA Clippers,0,0,0,2,3-7,0-0,13:57,0,1,+0,6,1,0-1,2,0
Lamar Odom,LA Clippers,1,1,0,5,2-4,0-2,23:33,5,4,+0,4,2,0-0,10,1
Jamal Crawford,LA Clippers,2,0,0,2,3-13,1-2,25:28,0,2,+0,7,1,0-4,2,2
Caron Butler,LA Clippers,0,0,0,0,3-9,0-0,18:25,3,0,+0,6,0,0-1,3,0
Matt Barnes,LA Clippers,0,2,0,3,3-7,3-4,29:35,5,4,+0,10,0,1-4,8,0
Willie Green,LA Clippers,0,0,0,1,3-4,0-0,16:50,1,0,+0,7,1,1-1,2,1
Chris Paul,LA Clippers,11,1,0,3,6-16,8-9,35:24,1,3,+0,22,1,2-8,4,4
Ronny Turiaf,LA Clippers,0,0,0,1,0-1,0-0,5:24,0,0,+0,0,0,0-0,1,0
DeAndre Jordan,LA Clippers,0,2,0,6,2-6,0-2,20:15,2,3,+0,4,0,0-0,8,0
Blake Griffin,LA Clippers,3,1,0,9,5-18,7-10,32:51,2,5,+0,17,1,0-0,11,0
Eric Bledsoe,LA Clippers,1,2,0,4,4-8,2-2,18:18,3,1,+0,11,2,1-2,7,3
