Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nene Hilario,Washington,6,1,0,12,10-13,1-2,37:23,1,2,+0,21,2,0-0,13,2
Emeka Okafor,Washington,3,0,0,7,5-8,2-2,24:15,3,2,+0,12,0,0-0,10,1
Trevor Ariza,Washington,3,0,0,3,4-7,0-0,32:34,0,1,+0,8,1,0-3,3,3
Martell Webster,Washington,1,0,0,1,1-4,0-0,20:02,0,2,+0,2,0,0-1,1,1
A.J. Price,Washington,3,0,0,0,2-5,0-0,15:17,1,0,+0,4,0,0-2,1,0
Garrett Temple,Washington,0,1,0,3,1-3,0-0,11:44,0,1,+0,2,0,0-0,3,1
John Wall,Washington,10,0,0,4,5-6,4-6,32:43,0,1,+0,14,1,0-0,4,7
Kevin Seraphin,Washington,0,0,0,5,3-5,1-1,14:30,1,4,+0,7,0,0-0,6,2
Chris Singleton,Washington,1,0,0,1,1-6,2-2,15:16,1,3,+0,4,1,0-1,2,0
Bradley Beal,Washington,2,2,0,4,10-17,4-4,36:16,0,0,+0,28,2,4-5,4,2
Joel Przybilla,Milwaukee,0,0,0,2,0-1,0-0,4:50,1,1,+0,0,0,0-0,3,1
Samuel Dalembert,Milwaukee,0,0,0,5,3-5,0-1,17:15,2,6,+0,6,1,0-0,7,1
Mike Dunleavy,Milwaukee,0,0,0,4,3-9,3-3,29:09,0,1,+0,11,1,2-4,4,0
Beno Udrih,Milwaukee,3,0,0,0,3-8,0-0,20:42,1,1,+0,6,0,0-3,1,0
Ersan Ilyasova,Milwaukee,4,2,0,5,8-17,2-4,34:27,4,2,+0,19,3,1-4,9,1
Monta Ellis,Milwaukee,8,1,0,5,9-21,6-9,43:20,2,2,+0,24,6,0-4,7,2
Luc Richard Mbah a Moute,Milwaukee,1,0,0,0,3-5,1-2,13:57,1,0,+0,8,0,1-1,1,2
Brandon Jennings,Milwaukee,7,0,0,1,3-17,0-2,39:25,0,0,+0,7,1,1-7,1,1
Ekpe Udoh,Milwaukee,0,1,0,2,2-7,1-1,23:22,4,2,+0,5,0,0-0,6,1
John Henson,Milwaukee,0,1,0,2,2-5,0-0,13:33,2,2,+0,4,1,0-0,4,0
