Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nene Hilario,Washington,5,0,0,2,3-6,3-4,24:01,1,0,+0,9,1,0-0,3,2
Emeka Okafor,Washington,1,0,0,4,1-5,2-4,22:04,4,1,+0,4,0,0-0,8,1
Martell Webster,Washington,1,0,0,4,4-8,2-2,27:07,3,1,+0,10,2,0-2,7,2
Cartier Martin,Washington,0,0,0,2,6-12,0-0,20:03,1,0,+0,16,0,4-7,3,0
A.J. Price,Washington,3,0,0,3,4-11,0-0,25:55,0,2,+0,11,0,3-7,3,0
Garrett Temple,Washington,3,0,0,2,2-5,2-4,30:19,0,4,+0,7,0,1-2,2,0
John Wall,Washington,3,0,0,3,11-19,11-14,33:05,0,0,+0,33,1,0-0,3,4
Kevin Seraphin,Washington,0,2,0,2,3-6,0-0,19:06,1,1,+0,6,2,0-0,3,3
Trevor Booker,Washington,0,0,0,1,1-2,0-0,6:35,1,0,+0,2,0,0-0,2,0
Jan Vesely,Washington,2,0,0,1,0-0,0-0,9:44,0,0,+0,0,0,0-0,1,0
Chris Singleton,Washington,0,0,0,3,0-3,1-2,22:01,0,5,+0,1,0,0-2,3,1
Jason Kidd,New York,1,0,0,5,1-1,0-0,22:03,1,2,+0,3,2,1-1,6,0
Kenyon Martin,New York,0,2,0,3,1-2,0-0,18:20,0,4,+0,2,1,0-0,3,3
Carmelo Anthony,New York,6,0,0,7,13-21,7-9,30:49,1,2,+0,36,0,3-4,8,0
J.R. Smith,New York,3,0,0,2,7-14,2-3,32:23,0,1,+0,17,0,1-3,2,4
Raymond Felton,New York,8,0,0,3,4-9,0-0,30:49,0,1,+0,10,2,2-6,3,1
James White,New York,0,0,0,0,0-2,0-0,6:36,1,0,+0,0,0,0-1,1,0
Steve Novak,New York,0,0,0,1,4-8,0-0,22:29,0,2,+0,12,0,4-8,1,0
Iman Shumpert,New York,2,1,0,4,7-10,0-0,24:25,0,4,+0,18,1,4-6,4,0
Chris Copeland,New York,1,0,0,7,6-11,1-2,29:33,2,5,+0,17,0,4-6,9,3
Pablo Prigioni,New York,5,0,0,2,2-2,0-0,22:33,0,3,+0,5,1,1-1,2,1
