Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Trevor Ariza,Washington,3,0,0,6,5-10,2-2,34:52,0,2,+13,15,3,3-4,6,2
Nene Hilario,Washington,2,2,1,3,4-10,2-2,29:19,2,4,+20,10,1,0-0,5,1
Marcin Gortat,Washington,2,1,1,7,8-12,3-3,38:14,5,3,+14,19,1,0-0,12,1
Bradley Beal,Washington,8,1,0,4,7-20,0-2,38:44,1,3,+20,17,3,3-9,5,2
John Wall,Washington,9,1,0,3,8-16,3-4,35:49,0,4,+19,24,1,5-8,3,2
Martell Webster,Washington,3,0,0,4,4-10,2-2,25:42,0,0,-6,14,1,4-7,4,0
Al Harrington,Washington,1,0,1,2,4-9,0-1,16:53,0,2,-5,10,0,2-4,2,2
Eric Maynor,Washington,3,0,0,0,2-7,0-0,12:11,1,0,-5,5,0,1-1,1,0
Kevin Seraphin,Washington,1,0,0,1,1-4,0-0,8:16,1,2,+0,2,0,0-0,2,1
Evan Turner,Philadelphia,4,0,1,5,9-13,5-6,38:22,2,1,-20,24,1,1-2,7,1
Thaddeus Young,Philadelphia,2,0,1,3,3-11,1-2,34:05,3,1,-21,7,1,0-1,6,2
Spencer Hawes,Philadelphia,5,2,0,11,9-16,3-4,38:35,2,3,-9,23,1,2-4,13,6
Michael Carter-Williams,Philadelphia,7,1,2,3,8-21,2-4,36:39,2,1,-18,19,2,1-4,5,2
James Anderson,Philadelphia,0,0,1,4,5-10,1-1,32:41,0,2,-5,13,0,2-4,4,1
Tony Wroten,Philadelphia,3,0,0,3,1-6,0-0,18:01,0,1,+5,2,0,0-3,3,2
Lavoy Allen,Philadelphia,0,0,0,6,1-1,1-2,16:47,1,2,+0,3,0,0-0,7,2
Darius Morris,Philadelphia,4,0,0,1,2-3,0-1,13:44,0,2,-2,4,0,0-0,1,3
Daniel Orton,Philadelphia,0,0,0,3,1-2,3-3,6:33,0,2,+2,5,0,0-0,3,1
Hollis Thompson,Philadelphia,1,0,0,0,0-0,2-3,4:33,1,0,-2,2,0,0-0,1,0
