Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nene Hilario,Washington,6,1,0,5,7-12,1-1,29:19,4,4,+0,15,2,0-0,9,3
Emeka Okafor,Washington,0,1,0,7,3-7,0-0,27:21,1,3,+0,6,0,0-0,8,2
Trevor Ariza,Washington,3,0,0,2,0-6,0-0,20:35,0,1,+0,0,0,0-3,2,4
Martell Webster,Washington,3,0,0,9,3-5,3-4,27:44,0,1,+0,10,0,1-3,9,3
A.J. Price,Washington,4,0,0,1,3-8,0-0,22:05,0,1,+0,7,1,1-2,1,1
Garrett Temple,Washington,0,0,0,0,0-0,0-0,7:11,1,0,+0,0,0,0-0,1,0
John Wall,Washington,10,1,0,2,6-15,2-4,25:55,1,1,+0,14,3,0-2,3,1
Kevin Seraphin,Washington,0,1,0,1,8-18,0-0,28:40,2,3,+0,16,0,0-0,3,2
Jan Vesely,Washington,0,0,0,1,0-1,0-0,10:21,1,1,+0,0,0,0-0,2,0
Bradley Beal,Washington,6,1,0,2,9-14,2-2,40:49,1,2,+0,26,1,6-7,3,1
John Salmons,Sacramento,2,0,0,2,9-15,1-1,43:02,2,1,+0,21,1,2-3,4,2
Francisco Garcia,Sacramento,0,1,0,1,1-2,0-0,5:09,0,2,+0,2,0,0-1,1,0
Chuck Hayes,Sacramento,1,0,0,4,1-1,0-0,21:29,0,1,+0,2,1,0-0,4,2
Aaron Brooks,Sacramento,1,0,0,1,2-3,0-0,8:08,0,1,+0,4,0,0-0,1,0
Jason Thompson,Sacramento,0,0,0,1,3-8,0-0,22:03,1,5,+0,6,0,0-0,2,2
Tyreke Evans,Sacramento,8,0,0,8,8-15,4-7,40:29,0,2,+0,21,3,1-1,8,2
James Johnson,Sacramento,0,0,0,1,0-1,0-0,2:24,1,0,+0,0,0,0-0,2,0
Marcus Thornton,Sacramento,0,0,0,1,2-5,0-0,7:31,2,1,+0,4,0,0-1,3,1
DeMarcus Cousins,Sacramento,5,0,0,12,9-19,3-3,42:44,4,5,+0,21,3,0-0,16,6
Jimmer Fredette,Sacramento,2,0,0,0,5-11,0-0,20:50,0,3,+0,12,1,2-3,0,0
Isaiah Thomas,Sacramento,4,0,0,0,1-4,0-2,19:32,0,0,+0,2,1,0-2,0,1
Thomas Robinson,Sacramento,0,0,0,1,0-1,0-0,6:39,1,1,+0,0,0,0-0,2,2
