Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Nene Hilario,Washington,3,1,0,8,4-10,3-3,30:27,1,4,+0,11,0,0-0,9,5
Emeka Okafor,Washington,2,0,0,10,4-14,0-0,31:38,3,3,+0,8,1,0-0,13,2
Trevor Ariza,Washington,0,0,0,1,3-9,1-2,26:18,1,1,+0,8,0,1-3,2,2
Martell Webster,Washington,0,0,0,2,4-8,2-2,34:23,1,4,+0,12,1,2-3,3,1
A.J. Price,Washington,3,0,0,3,5-7,0-0,23:44,1,0,+0,12,0,2-2,4,4
Garrett Temple,Washington,0,0,0,0,0-0,1-2,0:45,0,0,+0,1,0,0-0,0,0
John Wall,Washington,7,0,0,5,3-11,4-4,24:16,0,2,+0,10,1,0-0,5,1
Trevor Booker,Washington,0,0,0,3,3-9,2-2,25:21,3,2,+0,8,1,0-1,6,1
Chris Singleton,Washington,0,0,0,1,0-0,0-0,4:07,0,2,+0,0,2,0-0,1,1
Bradley Beal,Washington,2,0,0,6,8-13,2-2,39:01,0,5,+0,20,1,2-3,6,2
Amir Johnson,Toronto,2,3,0,9,2-8,2-2,36:48,4,4,+0,6,1,0-0,13,2
Alan Anderson,Toronto,0,0,0,3,0-4,4-4,23:54,0,4,+0,4,0,0-2,3,2
John Lucas III,Toronto,3,0,0,1,4-5,0-0,16:16,0,2,+0,9,0,1-2,1,0
Andrea Bargnani,Toronto,0,0,0,1,4-11,0-0,21:02,2,1,+0,8,1,0-2,3,1
Rudy Gay,Toronto,4,1,0,5,1-11,5-6,41:49,1,1,+0,7,4,0-2,6,5
Kyle Lowry,Toronto,3,2,0,4,6-17,3-6,31:44,1,2,+0,18,2,3-9,5,2
DeMar DeRozan,Toronto,1,1,0,3,9-17,7-9,39:15,1,2,+0,25,1,0-1,4,2
Landry Fields,Toronto,0,0,0,1,0-0,0-0,5:04,0,0,+0,0,0,0-0,1,0
Jonas Valanciunas,Toronto,0,0,0,3,2-4,0-0,17:53,0,2,+0,4,0,0-0,3,0
Terrence Ross,Toronto,0,0,0,0,1-2,0-0,6:15,0,0,+0,3,0,1-1,0,0
