Team,GP,MIN,W,L,Win%,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,+/-
Atlanta Hawks,78,3774,35,43,0.449,2914,6376,0.457,741,2021,0.367,1318,1693,0.778,690,2437,3127,1944,1205,643,310,339,1496,7887,-63
Boston Celtics,78,3754,23,55,0.295,2834,6544,0.433,536,1622,0.33,1261,1626,0.776,943,2381,3324,1627,1197,556,330,357,1664,7465,-360
Brooklyn Nets,78,3784,43,35,0.551,2800,6084,0.46,673,1821,0.37,1438,1900,0.757,680,2293,2973,1623,1117,666,301,314,1698,7711,-46
Charlotte Bobcats,78,3784,40,38,0.513,2824,6406,0.441,491,1388,0.354,1403,1890,0.742,736,2588,3324,1672,962,473,399,404,1417,7542,-28
Chicago Bulls,78,3789,46,32,0.59,2701,6259,0.432,484,1383,0.35,1405,1806,0.778,902,2555,3457,1762,1174,569,409,470,1486,7291,147
Cleveland Cavaliers,79,3842,32,47,0.405,2911,6693,0.435,567,1582,0.358,1336,1779,0.751,950,2528,3478,1666,1129,556,291,451,1575,7725,-284
Dallas Mavericks,79,3817,48,31,0.608,3127,6604,0.474,697,1811,0.385,1340,1686,0.795,808,2423,3231,1876,1068,677,342,282,1578,8291,204
Denver Nuggets,78,3758,34,44,0.436,3001,6688,0.449,668,1840,0.363,1471,2041,0.721,948,2578,3526,1750,1232,587,441,441,1792,8141,-168
Detroit Pistons,79,3812,29,50,0.367,3065,6871,0.446,489,1524,0.321,1351,2009,0.672,1145,2435,3580,1657,1150,668,386,383,1588,7970,-282
Golden State Warriors,77,3721,48,29,0.623,3014,6543,0.461,715,1892,0.378,1232,1633,0.754,842,2644,3486,1786,1172,586,390,325,1673,7975,366
Houston Rockets,78,3774,52,26,0.667,2974,6280,0.474,740,2075,0.357,1716,2421,0.709,875,2663,3538,1669,1268,592,443,432,1593,8404,368
Indiana Pacers,79,3812,54,25,0.684,2839,6348,0.447,522,1485,0.352,1444,1854,0.779,804,2732,3536,1582,1186,537,437,365,1614,7644,353
Los Angeles Clippers,78,3759,55,23,0.705,3053,6427,0.475,659,1862,0.354,1646,2251,0.731,818,2530,3348,1913,1085,675,376,266,1678,8411,556
Los Angeles Lakers,78,3749,25,53,0.321,2979,6638,0.449,733,1926,0.381,1334,1765,0.756,717,2488,3205,1894,1185,577,431,365,1567,8025,-515
Memphis Grizzlies,78,3764,46,32,0.59,2953,6389,0.462,381,1084,0.351,1175,1581,0.743,894,2391,3285,1690,1055,601,358,392,1507,7462,88
Miami Heat,78,3784,53,25,0.679,3006,5971,0.503,636,1731,0.367,1369,1799,0.761,596,2279,2875,1776,1148,698,353,243,1523,8017,425
Milwaukee Bucks,78,3784,14,64,0.179,2798,6435,0.435,524,1501,0.349,1296,1724,0.752,927,2285,3212,1674,1168,519,388,402,1633,7416,-643
Minnesota Timberwolves,78,3769,39,39,0.5,3030,6816,0.445,574,1684,0.341,1669,2144,0.778,974,2516,3490,1855,1081,680,275,434,1419,8303,236
New Orleans Pelicans,78,3779,32,46,0.41,2949,6426,0.459,453,1222,0.371,1422,1846,0.77,896,2368,3264,1658,1083,618,496,476,1775,7773,-210
New York Knicks,78,3779,33,45,0.423,2886,6437,0.448,725,1951,0.372,1175,1554,0.756,837,2323,3160,1581,1014,593,348,269,1715,7672,-98
Oklahoma City Thunder,77,3721,56,21,0.727,3007,6363,0.473,633,1722,0.368,1537,1911,0.804,825,2628,3453,1683,1195,634,466,275,1745,8184,508
Orlando Magic,78,3799,23,55,0.295,2887,6482,0.445,539,1527,0.353,1246,1633,0.763,763,2540,3303,1643,1154,595,332,431,1581,7559,-399
Philadelphia 76ers,78,3778,17,61,0.218,2947,6816,0.432,553,1769,0.313,1295,1821,0.711,916,2436,3352,1708,1325,718,313,535,1745,7742,-847
Phoenix Suns,78,3759,47,31,0.603,3019,6519,0.463,735,1966,0.374,1459,1926,0.758,891,2479,3370,1500,1197,644,358,318,1722,8232,228
Portland Trail Blazers,79,3822,51,28,0.646,3082,6860,0.449,739,1999,0.37,1510,1848,0.817,982,2674,3656,1826,1093,435,379,296,1529,8413,307
Sacramento Kings,79,3822,27,52,0.342,2913,6516,0.447,477,1430,0.334,1632,2147,0.76,957,2550,3507,1482,1207,568,305,441,1780,7935,-220
San Antonio Spurs,78,3759,60,18,0.769,3165,6472,0.489,655,1646,0.398,1235,1576,0.784,718,2648,3366,1969,1144,579,406,368,1416,8220,635
Toronto Raptors,78,3799,46,32,0.59,2849,6400,0.445,666,1800,0.37,1523,1945,0.783,886,2425,3311,1654,1094,547,331,336,1781,7887,258
Utah Jazz,78,3754,24,54,0.308,2782,6298,0.442,523,1508,0.347,1271,1706,0.745,852,2346,3198,1563,1136,539,343,382,1607,7358,-560
Washington Wizards,78,3819,40,38,0.513,3006,6588,0.456,617,1616,0.382,1193,1631,0.731,851,2450,3301,1798,1151,639,363,308,1594,7822,44
